level,generated_story
1,"Given this topic word: adventures
    
    Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale and observes the following specifications:
    1. Meaning or purpose: The text can range from containing a single level of meaning to multiple levels of meaning based on complexity.
    2. Structure: A text with low complexity tends to have simple, well-marked, and conventional structures, whereas a text of high complexity tends to have complex, implicit, and unconventional structures. Simple texts tend to relate events in chronological order, while complex texts make more frequent use of flashbacks, flash-forwards, and other manipulations of time and sequence. 
    3. Lengths: That text that has longer words and longer sentences are more difficult to read than shorter ones. A text with many long words and/or sentences is thus rated by these formulas as harder to read than a text with many short words and/or sentences would be. 

    Output the generated story directly.
     A river of flames ran down the middle of the street, burning cars and people. It had been raining for a while, so the streets were covered with thick mud. All of a sudden, the rain stopped, and the sun came out. The fire moved from the middle of the street to the other side, and then the rain came back again. After that, the sun stayed out, so the mud disappeared again, and people woke up the next morning to a beautiful day.  The story ends on this beautiful day.Mr. Anderson had been on holiday for the last few weeks, and on his return he noticed that his house had become rather messy. All of the furniture was turned upside down, the bed was pushed to the wall and Mr. Anderson had lost all of his valuable books. The police were informed, and it seemed that it was a case of robbery, as all of the valuable stuff had been stolen. But no-one was found who had done it. The house was cleaned up and Mr. Anderson found that everything was in order again. He was grateful that no-one had broken into his house. And the next day, he saw that the river of fire was back again, even though he hadn't seen any fire earlier in the year.  It was the same as it had been last year. But that was not the only thing that had been the same: the clothes were all different, and they had no names on them. Mr. Anderson"
1,"Given this topic word: mysteries
    
    Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale and observes the following specifications:
    1. Meaning or purpose: The text can range from containing a single level of meaning to multiple levels of meaning based on complexity.
    2. Structure: A text with low complexity tends to have simple, well-marked, and conventional structures, whereas a text of high complexity tends to have complex, implicit, and unconventional structures. Simple texts tend to relate events in chronological order, while complex texts make more frequent use of flashbacks, flash-forwards, and other manipulations of time and sequence. 
    3. Lengths: That text that has longer words and longer sentences are more difficult to read than shorter ones. A text with many long words and/or sentences is thus rated by these formulas as harder to read than a text with many short words and/or sentences would be. 

    Output the generated story directly.
     Two people are sitting at a café, drinking coffee and eating pancakes. The first guy orders a cappuccino, but the waitress mistakes it for a cappuccino and gives him a latte. To prove it to the waitress, he orders another cappuccino and asks the waitress for a latte as well. Then the waitress takes out the right cappuccino and gives him the wrong one. The second guy, watching this, laughs and says: ""I can't believe that!"" The first guy looks sad and says, ""We're in trouble now!"" To which the other guy replies: ""No, no, no, I just made a mistake. Don't worry about it!"" They both laugh and take the cappuccino/latte mix and put it back. Then, with a sip of their coffee, they take another bite of their pancakes and sip their coffee, and continue laughing together.

    Now, the first guy asks: ""So what were you doing?"" The other guy says: ""I was eating pancakes.""

    The first guy responds: ""Pancakes have a mystery, too. They're hard to eat, because they're long and have lots of short words in them. But, they also have a short, easy to read sentence in the middle. Pancakes have a story you can figure out just by reading the word 'pancakes'. But, I'm sure there is another way"
1,"Given this topic word: legends
    
    Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale and observes the following specifications:
    1. Meaning or purpose: The text can range from containing a single level of meaning to multiple levels of meaning based on complexity.
    2. Structure: A text with low complexity tends to have simple, well-marked, and conventional structures, whereas a text of high complexity tends to have complex, implicit, and unconventional structures. Simple texts tend to relate events in chronological order, while complex texts make more frequent use of flashbacks, flash-forwards, and other manipulations of time and sequence. 
    3. Lengths: That text that has longer words and longer sentences are more difficult to read than shorter ones. A text with many long words and/or sentences is thus rated by these formulas as harder to read than a text with many short words and/or sentences would be. 

    Output the generated story directly.
     Sylvia and her boyfriend visited the forest near their house to look for a new tree house. Since they could not find one, Sylvia looked for an old one they used to visit as a child. One day she noticed that the tree that the tree house was built on was dying, and she was afraid that the tree would be cut down. As she was sitting in the tree house, she saw the big bird fly towards her. She was afraid it would destroy the tree and thus they would die. The bird landed in the tree, and a loud cry was heard. The bird asked Sylvia why she made it angry, and she admitted she was afraid it would harm the tree. The bird asked again why she was afraid, and she answered because she was wrong. The bird asked her again why she was wrong and told her that the tree was not alive. The bird asked her a third time if the tree was dead, to which she replied yes. The bird told her she was correct about the tree being dead, but she was wrong about who was responsible for it. The bird told her that she was wrong because she was afraid of the bird. The bird then left and asked for her forgiveness. She replied she had been wrong about all three things. She then asked if she could have a snack and told her she could eat one slice of fruit. The bird replied it was not allowed to leave the tree and told her she would be allowed to have a snack when she ate the"
1,"Given this topic word: dreams
    
    Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale and observes the following specifications:
    1. Meaning or purpose: The text can range from containing a single level of meaning to multiple levels of meaning based on complexity.
    2. Structure: A text with low complexity tends to have simple, well-marked, and conventional structures, whereas a text of high complexity tends to have complex, implicit, and unconventional structures. Simple texts tend to relate events in chronological order, while complex texts make more frequent use of flashbacks, flash-forwards, and other manipulations of time and sequence. 
    3. Lengths: That text that has longer words and longer sentences are more difficult to read than shorter ones. A text with many long words and/or sentences is thus rated by these formulas as harder to read than a text with many short words and/or sentences would be. 

    Output the generated story directly.
     In a dream,  I was a human.  My body was not the human body but a very strong machine.  My face was not human face but a machine made to look like human face.
  In my dream I woke up suddenly.
My friend told me that his wife had been attacked by dogs in their dream.  I was shocked to hear it.  In my dream when I saw my friend with his wife, I went away from the dream and slept again.One night, a man had a dream.  He was standing at the edge of a pond, gazing into the water.   Looking over the water, he could see a large number of animals, all floating around in the water.  He saw a dog come up to him, and the man petted it gently on the top of its head.  He saw another dog, about the size of a human, trotting along beside the first dog.  Another large dog was also there, with what looked like a human head on its back.  Finally, a man could see a large black pig floating on the surface of the water.   The man stroked the pig's back gently, smiling at the pig.   Finally, he dreamed that he came to life again, and was able to walk around.  When he looked around, he could see that there were no animals around.  Then he woke up.
The man was very disappointed to wake up"
1,"Given this topic word: secrets
    
    Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale and observes the following specifications:
    1. Meaning or purpose: The text can range from containing a single level of meaning to multiple levels of meaning based on complexity.
    2. Structure: A text with low complexity tends to have simple, well-marked, and conventional structures, whereas a text of high complexity tends to have complex, implicit, and unconventional structures. Simple texts tend to relate events in chronological order, while complex texts make more frequent use of flashbacks, flash-forwards, and other manipulations of time and sequence. 
    3. Lengths: That text that has longer words and longer sentences are more difficult to read than shorter ones. A text with many long words and/or sentences is thus rated by these formulas as harder to read than a text with many short words and/or sentences would be. 

    Output the generated story directly.
     Secret   1.  She didn't want to talk about it.  She had no intention of talking about it. 2.   There are all sorts of secrets. I know some people who know others who know more. 3.   I'm going to get my secrets out now before something happens.  I'll probably regret it. 4.  There are many secrets. I know secrets, I've heard many secrets. 5.   I don't know why she did this. I don't even know why she did that.  She did it out of a secret.  She didn't mean to do this. 6.   He didn't say a word. He didn't say a word to the teacher. He didn't say a word to the principal. 7.  She didn't want to talk about it. She had no intention of talking about it. 8.  There are all sorts of secrets. I know some people who know others who know more. 9. I'm going to get my secrets out now before something happens. I'll probably regret it. 10. There are many secrets. I know secrets, I've heard many secrets. 11.   He didn't say a word. He didn't say a word to the teacher. He didn't say a word to the principal. 12. She didn't want to talk about it. She had no intention of talking about it. 13. There are all sorts of secrets"
1,"Given this topic word: journeys
    
    Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale and observes the following specifications:
    1. Meaning or purpose: The text can range from containing a single level of meaning to multiple levels of meaning based on complexity.
    2. Structure: A text with low complexity tends to have simple, well-marked, and conventional structures, whereas a text of high complexity tends to have complex, implicit, and unconventional structures. Simple texts tend to relate events in chronological order, while complex texts make more frequent use of flashbacks, flash-forwards, and other manipulations of time and sequence. 
    3. Lengths: That text that has longer words and longer sentences are more difficult to read than shorter ones. A text with many long words and/or sentences is thus rated by these formulas as harder to read than a text with many short words and/or sentences would be. 

    Output the generated story directly.
     It was a grand adventure. Every journey was a different one and each one of the journeys was a great adventure. It was the most beautiful sight and it was like seeing it for the first time. They had a lot of fun. 
      They had seen lots of different animals. They had run with elephants and felt their strength. They had seen crocodiles and watched them eating fish. They had walked for days over the desert. They had lived in the ocean and walked across the sand with sharks in the sea. They had slept under the stars and listened to the sea birds singing. Then it was time to see the wonder of the world, the Taj Mahal. They were amazed that the building has stood for so long. They wanted to see the white tiger and had heard that it was a very special animal. They left to go see the tiger in the forest and it was amazing to watch the tiger come out of the den. The tiger saw the children and had fun and play with them. He was quite beautiful and it was a moment they will never forget. But then came the time to leave and go home. They were sad to leave the beautiful place but they were happy to go back home. They all had a great time. They felt that they had experienced the journey of a lifetime. 
          Journeys are grand adventures and the children from the zoo went on many of them"
1,"Given this topic word: treasures
    
    Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale and observes the following specifications:
    1. Meaning or purpose: The text can range from containing a single level of meaning to multiple levels of meaning based on complexity.
    2. Structure: A text with low complexity tends to have simple, well-marked, and conventional structures, whereas a text of high complexity tends to have complex, implicit, and unconventional structures. Simple texts tend to relate events in chronological order, while complex texts make more frequent use of flashbacks, flash-forwards, and other manipulations of time and sequence. 
    3. Lengths: That text that has longer words and longer sentences are more difficult to read than shorter ones. A text with many long words and/or sentences is thus rated by these formulas as harder to read than a text with many short words and/or sentences would be. 

    Output the generated story directly.
     I think there is a treasure that was lost or hidden somewhere in the forest, the clues about it were written on the door and somebody was murdered on the same day. When a cop went to find the killer he met the killer's sister and the brother who was there too. They said they never knew any of that. Who is the murderer?A young couple was having a picnic on a secluded beach when they started to discuss their future and the children. The man said he wanted to have a child and the woman did not. However, she said she would marry him anyway and agreed to adopt a child. When the couple was on the return trip, the woman suddenly felt severe pains in her abdomen. She started to complain of pains but her husband said she was not in pain at all. Suddenly she got out of the car and fell to the ground, crying in pain. The man told her to lie down so she could get a better view of the pain she was feeling. She laid down on the ground and her husband ran back to the car. When they reached the nearest hospital, the woman became even more ill. They took her to surgery and her surgery went well, except her surgeon died in the same surgery. During the surgery, it seemed that the husband was doing CPR but they found out after they took her out that he wasn't doing anything and was just standing at the door, saying nothing. The man was then arrested and the woman didn't seem to be"
1,"Given this topic word: quests
    
    Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale and observes the following specifications:
    1. Meaning or purpose: The text can range from containing a single level of meaning to multiple levels of meaning based on complexity.
    2. Structure: A text with low complexity tends to have simple, well-marked, and conventional structures, whereas a text of high complexity tends to have complex, implicit, and unconventional structures. Simple texts tend to relate events in chronological order, while complex texts make more frequent use of flashbacks, flash-forwards, and other manipulations of time and sequence. 
    3. Lengths: That text that has longer words and longer sentences are more difficult to read than shorter ones. A text with many long words and/or sentences is thus rated by these formulas as harder to read than a text with many short words and/or sentences would be. 

    Output the generated story directly.
     Aquatic Life I have been on the river ever since. In fact, you could say I was born there. Because, to be honest, there is nothing more enchanting than a flowing river.  You can go swimming, canoeing, rafting, and just sit and be at one with the nature and all of the little creatures that populate it.  So, what can you do when you are there?  I am not sure, but I do know that one of the best ways to have a good time is to swim! You should never swim in the ocean, of course, because that is crazy, but there is a river that is perfect for swimming in. The river has just enough current that it is not too dangerous, but enough that it will keep you out of trouble. For me, there is only one thing better than swimming in that river and that is fishing! I never get tired of fishing. I can be in the midst of the most amazing lake and be fishing before I realize it. But, it is different when you are out on a river that is flowing. There is something more wonderful about a river than a lake or a bay. The thing about a river is that it is always flowing and it never ever stops. That is a wonderful thing about the river. The other thing I love about it is that there is always a million fish waiting to bite. It is a pretty exciting thing to have that many fish around to chase. This is"
1,"Given this topic word: battles
    
    Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale and observes the following specifications:
    1. Meaning or purpose: The text can range from containing a single level of meaning to multiple levels of meaning based on complexity.
    2. Structure: A text with low complexity tends to have simple, well-marked, and conventional structures, whereas a text of high complexity tends to have complex, implicit, and unconventional structures. Simple texts tend to relate events in chronological order, while complex texts make more frequent use of flashbacks, flash-forwards, and other manipulations of time and sequence. 
    3. Lengths: That text that has longer words and longer sentences are more difficult to read than shorter ones. A text with many long words and/or sentences is thus rated by these formulas as harder to read than a text with many short words and/or sentences would be. 

    Output the generated story directly.
     In the beginning there was a battle. In the beginning there was no battle, but one small thing happened. The small thing was that a single leaf fell.

   

    The narrator and the leaf have been friends for ages. The leaf likes this book and the narrator enjoys the leaf.

   

    The leaf is always around the narrator's side. The leaf is always watching for the narrator's movements. The leaf watches the narrator carefully.

   

    The leaf looks for the smallest change in the narrator's movement. If that change happens, the leaf knows. 

   

    One day the narrator decided to put on his armour and go to battle. The narrator put on his armour and went to battle.

    The narrator thought he was prepared for battle. It was his first time in the armour, but the armour seemed comfortable.

    The narrator put his head into the helmet and he couldn't breathe anymore. When the battle was over, he was back at his friends house, but there was no leaf.

   

   

    This is a simple story. The narrator decides to go to battle, putting on his armour and everything is fine. Then he realizes he can't breathe when he puts on the armour. This is a sign he is ready for battle.

    This is a story about the"
1,"Given this topic word: myths
    
    Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale and observes the following specifications:
    1. Meaning or purpose: The text can range from containing a single level of meaning to multiple levels of meaning based on complexity.
    2. Structure: A text with low complexity tends to have simple, well-marked, and conventional structures, whereas a text of high complexity tends to have complex, implicit, and unconventional structures. Simple texts tend to relate events in chronological order, while complex texts make more frequent use of flashbacks, flash-forwards, and other manipulations of time and sequence. 
    3. Lengths: That text that has longer words and longer sentences are more difficult to read than shorter ones. A text with many long words and/or sentences is thus rated by these formulas as harder to read than a text with many short words and/or sentences would be. 

    Output the generated story directly.
     This myth is a myth.
No good myths come from mythology. There is too much to know about myths to tell them, and most of what is known is wrong. Myth is only a word for an invented story, not for an unmade one.
Mythology is a real science, based on observation. It is based on a theory of how people learn, based on what they actually know. This theory was based on observations about what they know, and it is still true today. There is a lot we don’t know about mythology. We don’t know what makes it effective, or why people believe it. We don’t know why people like to read about it. We don’t know what makes myths effective. What we do know is that myths will not work for you, and that if you do have a myth, then it is not a myth. If you follow the myth you will find that it doesn’t work.
This means you can create a myth of your own. You can create a story that is based on something real, even if the something is made up. You can use something real that people have believed in. You can make up something real that people believe in. But you can’t use the myth of something real that people have not. The thing that people didn’t believe in would never be able to be a myth, even if you are able to make it so real"
