level,generated_story
A2,Buildings People have always made buildings. We need houses to keep us warm and dry and we build stadiums so we can watch football matches and pop concerts. We use other buildings like museums to keep beautiful things in. Many people work together on a building. The architect decides how the building is going to look and draws pictures that show people his or her ideas. The builder is the person who actually does the work. He or she has to make sure that the building is safe and strong. The workers are the people who do the actual work of building. They might do things like carry bricks or mix cement. 101 Dalmatians Some of the most famous buildings in the world are famous because they are beautiful or interesting in some way. The Eiffel Tower in Paris is a famous example of a beautiful building. It is made of iron and is shaped like a giant iron pole. The Great Wall of China is famous because it is so long and stretches across a whole country. The Taj Mahal in India is famous for being very beautiful and having a special place in the history of India. 101 Dalmatians is a Disney movie about a family of Dalmatians who get lost and have to find their way back home. The movie is famous because it is funny and has cute dogs in it. The dogs are called Pongo and Perdita and they have a lot of puppies. Pongo and Perdita have to go on a journey to find their puppies and they meet a lot of interesting people along the way. 101 Dalmatians is a very popular movie and many people have seen it. Some people even have the movie on video or DVD so they can watch it again and again. 101 Dal
A2,"'No' said Harry. 'I won't go. I'm your best man and this town has problems.' 'Yes' said Paul 'you are my best man. But you must understand something. After we go the people here in Dante's Peak will stay. They have their shops and their businesses. You think only about volcanoes but this is about money too.' 'OK' Harry said with a smile. 'I think I understand.'""

This is a conversation between Harry and Paul, where Harry is hesitant to go to Dante's Peak because he thinks the town has problems. Paul tries to convince him by saying that the people in the town have their shops and businesses, and it's not just about volcanoes but also about money. Harry agrees to go to Dante's Peak after understanding Paul's perspective.

What is the main theme of this conversation?

A) Volcanoes
B) Money
C) Businesses
D) Hesitation

Answer: B) Money. The conversation revolves around Paul's argument that the people in Dante's Peak have their shops and businesses, and it's not just about volcanoes but also about money. Therefore, the main theme of this conversation is money.

Would you like to know the next conversation? Please let me know! 😊. 🤔. 📚. 💬. 👀. 😃. 👍. 💭. 🤔. 📚. 💬. 👀. 😃. 👍. 💭."
A2,"Careful! Fight with your head don't fight with your heart boy!' shouted Bowen. The knight wanted to make Einon a good fighter. But he also wanted to teach him the Old Code. Sir Bowen and all the kings princes and knights before him were Knights of the Old Code. For thousands of years kings were kind to peasants and knights helped kings. But the kings grew greedy and the knights cruel. So the peasants rose up and the Old Code was born. The Code said knights must never hurt the weak or the innocent. They must help the poor and defend the defenseless. 'You are the future of the Old Code Einon!' shouted Bowen. 'You must remember these lessons and pass them on to your children. For the Code is the only thing that keeps us from sliding back into darkness!' 'I will fight with my head and my heart!' vowed Einon. 'I will never forget the Old Code!' 










































































































































































"
A2,"The History of Farming Before people started farming they went to the forest to look for plants or fruit they could eat. This meant that people were moving all the time to find food. But about 12000 years ago in the Middle East people began to grow food. These people were the first farmers. They grew wheat, barley and dates. Over time farming spread to other parts of the world. In Europe farmers started growing crops like wheat and oats. In America the Native Americans grew maize, beans and squash. The history of farming is long and complex. But it is important because farming has allowed people to live in one place and have a steady supply of food. This has allowed people to build homes and communities. It has also allowed people to have more time to do other things like make art, write books and discover new things.




















































































































































































"
A2,"ICE-FISHING If you drive north from Toronto for three hours you come to Lake Nipissing. In winter the lake becomes ice and thousands of Canadian fishermen travel there each weekend. They build little houses of wood on the ice and paint them in bright colours. Then they sit inside to catch the fish that swim under the ice. This is ice-fishing.  The fishermen sit in their little houses and wait for a bite. They have to be very quiet so they don't scare the fish away. They use special rods with a hook on the end and bait on the hook. When the fish bites, the fisherman pulls the rod and the fish comes up through the hole in the ice. Then he pulls the fish out and puts it in his bucket.  If you go ice-fishing, be sure to dress warmly. You need a warm coat, a hat, gloves, and boots that are good for walking on the ice. You also need a special bag to sit on. This is called a ""ice-chair"".  Ice-fishing is a very popular sport in Canada. Many people enjoy it because it is a chance to get outdoors and enjoy the winter weather. It is also a chance to catch fish for dinner. Some people even eat the fish they catch right on the ice!  If you try ice-fishing, be sure to be careful. The ice can be slippery and the fish can be slippery too. Also, you have to be careful not to fall through the ice.  In Canada, ice-fishing is a fun and exciting winter sport. 

Ice-fishing is a popular winter sport in Canada where fishermen sit in little"
A2,"A man heard me and looked round. Then this big man saw me in the corn. He walked to me and I began to shout loudly: ' His foot is going to kill me ! ' The man stopped. For a minute he looked down at me carefully. (We look at a small animal in the same way and think: 'Will it hurt me?') Then he looked up at the sky and sighed. Then he spoke: ' Poor little thing. Don't worry, I'll not hurt you. You're safe now. ' He picked me up gently and put me in his pocket. He walked away with me still struggling in his pocket. He walked for a long time and I was very tired. He eventually came to a farmhouse. He opened his pocket and put me on the ground outside the door. I was so relieved. I was very tired. I closed my eyes and slept.





















































































































































































"
A2,"Memo To: All staff Subject: Holidays From: D Brown Date: 22.2.02 I am planning the holidays for next year. Please tell me when you would like to take your holiday. If possible could you give me two dates? Please give me your answer by the end of the month. Thank you. Yours sincerely, D Brown...
... Memorandum To: All Staff From: D. Brown Date: February 22, 2002 Subject: Holidays As we approach the end of the current year, I am planning the holidays for next year. I would like to know when you would like to take your holiday. Could you please give me two dates? Please respond by the end of the month. Thank you. Yours sincerely, D Brown ...
... Memorandum To: All Staff From: D. Brown Date: February 22, 2002 Subject: Holidays As we approach the end of the current year, I am planning the holidays for next year. I would like to know when you would like to take your holiday. Could you please give me two dates? Please respond by the end of the month. Thank you. Yours sincerely, D Brown ...
... Memorandum To: All Staff From: D. Brown Date: February 22, 2002 Subject: Holidays As we approach the end of the current year, I am planning the holidays for next year. I would like to know when you would like to take your holiday. Could you please give me two dates? Please respond by the end of the month. Thank you. Yours sincerely,"
A2,"New books this month The Long Night This is David Reilly's first book. David became a writer after teaching English for several years. Maha is a nurse in northern Australia where she works in a small hospital. One day a baby is so ill that Maha has to drive all night to get her to the nearest big city. There are no other cars on the road and she has to drive at high speeds. She is very tired and has to keep going. She is worried that the baby will not survive. She is also worried that she will not survive the drive. She has to keep going because she has no choice. The book is a thriller and it is very exciting. It will keep you on the edge of your seat. You will be worried for Maha and the baby. You will want to know what will happen next. The book is very good and I recommend it.


















































































































































































"
A2,"Big cats There are many different kinds of cats. They are different in size and they do not look or act the same. Tigers are the biggest cats. From head to tail they can be 3.7m long. Most cats don't like water but tigers will often lie in a pool of water when it is hot!  They are very good climbers and can jump up to 6m high. Tigers have beautiful orange and black stripes. They live in forests and grasslands in Asia. There are only about 3000 tigers left in the wild.  Leopards are smaller than tigers but still quite big. They can be up to 2m long from nose to tail. They have spots instead of stripes and they are good climbers too. They live in forests and grasslands in Africa and Asia. There are about 70,000 leopards left in the wild.  Lionesses are smaller than male lions. They are about 1.8m long from nose to tail. They have thick manes and are very good at hunting. They live in savannahs in Africa. There are about 20,000 lions left in the wild.  Jaguars are the biggest cats in the Americas. They can be up to 2.5m long from nose to tail. They have black spots and a distinctive pattern on their coats. They live in rainforests and savannahs in Central and South America. There are about 15,000 jaguars left in the wild.  Servals are medium-sized cats. They are about 1m long from nose to tail. They have long"
A2,"Marco stood at the door of Silvia's flat and watched Gabriel leaving. He looked carefully at his clothes and his shoes. Why didn't Silvia open the door? She was in there. Then suddenly it opened. 'Silvia dear' Marco said 'you look wonderful ...' He stopped. Silvia didn't look wonderful. Her face was red and she looked unhappy. 'What's wrong?' Marco asked. 'Gabriel's been here. He wanted to see you. He said he needed to talk to you. Why didn't you tell me?' Silvia asked. 'Tell you?' Marco repeated. 'Yes, tell me. Why didn't you tell me he was coming?' Silvia's voice was rising. 'I didn't know,' Marco said. 'I didn't know he was coming. I swear.' 'But why didn't you tell me?' Silvia asked again. 'I'm sorry, Silvia. I didn't know.' Marco said. 'You could have warned me.' Silvia said. 'I'm sorry. I didn't mean to upset you.' 'You didn't upset me,' Marco said. 'I'm just surprised. That's all.' 'Well, next time, please tell me. Okay?' Silvia asked. 'Of course, Silvia. I'll tell you next time.' Marco said. 'I promise.' Silvia nodded and then turned and went back inside her flat. Marco watched her go, feeling guilty and embarrassed. He knew he had let Silvia down. He hoped she would forgive him. He hoped she would understand. He took a deep breath and walked back to his own flat, feeling sad and worried. He had let Silvia down,"
