level,generated_story
A2,"Buildings People have always made buildings. We need houses to keep us warm and dry and we build stadiums so we can watch football matches and pop concerts. We use other buildings like museums to keep beautiful things in. Many people work together on a building. The architect decides how the building is going to look and draws pictures that show people his or her ideas. The interior designer draws the plans so that the architect can make sure that the architect will make the building like he or she imagined it. And we have engineers. 
These are just some of the people who work in construction. But there are more. They are called workers. The workers take care of all the work that has to be done. These people don't think about how buildings will look. They only think about how the buildings will work. And they are very good at that. 
These are the workers who build a house or a statue or something like that. But they also make a road. You see, roads make travel. The workers that build a road are just as important as the builders who build buildings.

People have to travel to work. And so the workers that build the roads make sure that it's safe. They make sure that the road is well built and that it is well looked after. They also make sure that people have enough food and water to make sure they get to work. 
You see, the workers that build the roads are just as important as the workers that build the buildings.

You are thinking too quickly. You need to slow down. People always make decisions after a lot of thought. The workers decide the roads and the roads decide the people who use them.

Look at me. I'm working with you. I'm designing buildings. My work helps you. My work helps you a lot. So"
A2,"'No' said Harry. 'I won't go. I'm your best man and this town has problems.' 'Yes' said Paul 'you are my best man. But you must understand something. After we go the people here in Dante's Peak will stay. They have their shops and their businesses. You think only about volcanoes but this is about money too.' 'OK' Harry said with a smile. And he got ready to leave. 
  
 'Wait! Harry...' Paul said 'Harry, I've got something very important to tell you. You are going to have a new business partner.' 
  
 Harry looked at Paul who was holding his wedding ring. 'What?' said Harry 'I can't have an affair with your best friend! It's a sin! I'm a Protestant!' 
  
 Harry just laughed. It was not the first time that he had heard such silly jokes. But Paul was sincere. 'Harry, you must change. You are a wonderful man but you need a life partner. You are so perfect for each other. Let's work on a plan.' 
  
 The next day Harry was happy. He was going to have a new life partner. And he started to take everything calmly. He had to keep a clear head. He had a meeting with his friends the next day, but everything looked good. The day passed well. Harry was going to become a businessman. After his meetings he started to prepare a proposal. He sent Paul a postcard about this proposal. 'Come soon with your answer. It's urgent.' 
  
 And he read all Paul's postcards: 'Harry, we're going to start a new life together!'. Harry was happy. 
  
 Next day Harry told the news to his best friend. 'Paul, this is very"
A2,"Careful! Fight with your head don't fight with your heart boy!' shouted Bowen. The knight wanted to make Einon a good fighter. But he also wanted to teach him the Old Code. Sir Bowen and all the kings princes and knights before him were Knights of the Old Code. For thousands of years kings were kind to peasants and knights helped kings. But now the peasants are angry, greedy and the knights who help them are no more knights. Sir Bowen was sad, he had to teach Einon the Old Code. The Old Code wasn't about killing, but about fighting and showing respect for your enemies. It taught you not to fight with your head and not with your heart but with your body. You didn't fight dirty, you didn't kick and punch. When you attacked someone you kicked and punched. With the Old Code you fought the person you wanted to fight with the least, and you didn't even want to fight him. You only fought when you had to. And when you had to fight someone you'd ask him to leave the castle. Then you could go inside and make a deal with him. You'd tell him that you wanted to fight him only when you could and that you'd only do it in the afternoon. He'd leave when the sun was gone and you would've made a fair deal. But Einon was a coward. He always ran when they'd have a duel. He was afraid. He always ran. And that's when Sir Bowen decided to change the old code. He started with the guards. He kicked and punched them until they started to fight him. He didn't want to have to ask them to leave before he could fight. So instead of asking them to leave he'd just beat the life out of them. And when they'd started to run he'd knock them out"
A2,"The History of Farming Before people started farming they went to the forest to look for plants or fruit they could eat. This meant that people were moving all the time to find food. But about 12000 years ago in the Middle East people began to grow food. These people were the first farmers. This was because these people could use plants to grow food. 

Today farming is very important for us. We use farming to make food for the whole world. Farming has brought a lot of happiness to us. We cannot imagine what would have happened if we did not have farming.
You can solve all the problems that you are having by reading the given essay.The history of farming before people started farming they went to the forest to look for plants or fruit they could eat. This meant that people were moving all the time to find food. But about 12,000 years ago, in the Middle East, people began to grow food. These people were the first farmers. This was because these people could use plants to grow food. 

Today, farming is very important to us. We use farming to make food for the whole world. Farming has brought a lot of happiness to us. We cannot imagine what would have happened if we did not have farming.
You can solve all your problems by reading the given essay.The history of farming before people started farming they went to the forest to look for plants or fruit they could eat. This meant that people were moving all the time to find food. But about 12,000 years ago, in the Middle East, people began to grow food. These people were the first farmers. This was because these people could use plants to grow food. 

Today, farming is very important to us. We use farming"
A2,"ICE-FISHING If you drive north from Toronto for three hours you come to Lake Nipissing. In winter the lake becomes ice and thousands of Canadian fishermen travel there each weekend. They build little houses of wood on the ice and paint them in bright colours. Then they sit inside to catch the fish that swim under the ice. In summer the fishing is even better and the lake is ice-free. You can fish from a boat or take a canoe. You have to follow all the rules on safety. You need to keep your feet on the ice. You can’t go into the water and swim. Fishing can be fun. You can fish for any kind of fish - snapper, walleye, herring and even salmon. If you are lucky you can catch the king salmon, which you can take back to Quebec. If you catch a big fish you can even share it with all your friends, because they love salmon. It's more fun if you go ice fishing in winter because the ice is so cold and solid. You can sit on the boat and look at the lake while you fish. It can be very relaxing. If you are a big hunter like me you can have a special day on the ice with your dog. There are many trails in the lake for you and your dog to walk on and chase after your food. When you are very tired you can go and lie down in the forest on a bench and have a hot chocolate with your friend. It's more relaxing than sitting on the ice with your dog. Fishing is a great hobby. People from all over the world come to have fun there. In winter you can travel there by car. In summer you can drive there in a canoe. It is a great hobby. This activity is very beautiful. There are beautiful people"
A2,"A man heard me and looked round. Then this big man saw me in the corn. He walked to me and I began to shout loudly:'His foot is going to kill me!'The man stopped. For a minute he looked down at me carefully. (We look at a small animal in the same way and think: 'Will it hurt me? No. It is my foot that will hurt me!) Then he said to me'Why are you shouting?'I answered:'It is my foot that will hurt me!'The man looked down again at my feet. Then,'Go  to the next field'He told his colleague to carry the man to the next field. The following day (it was Sunday) the colleague called me. He told me that he had taken the man to the hospital. When I told him that I had looked at the foot, the man told me he would not mind walking home. At 5.00 p.m., as planned, I got off the train. I began to walk towards home. But, before reaching home, I heard a noise:'It has broken the glass in my shoe.'I rushed back home. That evening my mother was angry with me. At 6.00 p.m., as planned, I got on the train to leave for the airport. I sat on a corner of the car and began to think about what to do. A policeman arrived. At 7.00 p.m., as planned, I got on the plane to return home.

A.
In which of the following was the situation more likely to occur?

The situation was more likely to occur if I had chosen the other two options.
The situation was more likely to occur if I had not chosen the other two options.
The situation was more"
A2,"Memo To: All staff Subject: Holidays From: D Brown Date: 22.2.02 I am planning the holidays for next year. Please tell me when you would like to take your holiday. If possible could you give me two dates? Please give me your answer by the end of the month. Thank you.Holiday Request - Please write to the staff for dates to take the holiday. When will you be available from 12.00 till 22.00? Thanks, D. Brown.
Holiday Request - All staff to be available from 12:00 to 22:00 on 12 November. You can request holiday on your email. Thanks.From: John C. Wright Date: 23.2.02 I have prepared a set of slides to be shown at the staff meeting. Please take care of these things and pass on to everyone else. The presentation will be given on the 28.2.02. Please pass on to everyone that the staff meeting will be held on 29.2.02.
Regards, John C. Wright.I have prepared a set of slides to be shown at the staff meeting. Please take care of these things and pass them to everyone else. The presentation will be given on the 30.2.02. Please pass on to everyone that the staff meeting will be held on the 1.3.02.
Regards, John C. Wright.I have prepared a set of slides to be shown at the staff meeting. Please take care of these things and pass them on to everyone else. The presentation will be given on the 1.3.02. Please pass on to everyone that the staff meeting will be held on the 3.3.02.
Regards, John C. Wright.I have prepared a"
A2,"New books this month The Long Night This is David Reilly's first book. David became a writer after teaching English for several years. Maha is a nurse in northern Australia where she works in a small hospital. One day a baby is so ill that Maha has to drive all night to get her to the nearest big city. The book is set in a small town so it is all too familiar in many ways. There are some very funny scenes about how ordinary people cope in a remote rural part of Australia, like the way a couple of locals go round in a circle in the middle of the night, trying to get to the neighbours house to fetch some firewood. It does seem a bit silly though and a bit like a spoof. I've read it several times since I've read about it last year and it's always fun. You can buy it from most bookshops. The Long Night by David Reilly.
The Summer of Fear by David Mitchell This is David Mitchell's second book and if you like your books a bit dark, it will be a good choice. It's set in Northern England in the late 1970's and it's about a bunch of friends who start going out on dangerous walks in the woods in search of a mythical beast. Sometimes they find it, sometimes they don't. It's about the journey they go on together rather than their journey through the woods, and if you've read the first book I'm not sure if the plot would be clear enough for you to follow. There are lots of different parts to the book to keep you occupied. I can see it being a real pleasure to read for a long period of time. If I'd read it in one sitting though I don't know if I could read it all again in one sitting. I'd have to do something"
A2,"Big cats There are many different kinds of cats. They are different in size and they do not look or act the same. Tigers are the biggest cats. From head to tail they can be 3.7m long. Most cats don't like water but tigers will often lie in a pool of water when it is hot! Lions are big and can grow up to 4.5m in length. They are usually spotted and will run at full speed in the wild. They are not known for their stealth and are very vocal. Most cats don't like to be touched. They are not afraid of humans but they may bite. Bears are the smallest cats. These animals are normally smaller than a wolf and grow about a foot long. They are typically black in colour and will live in the woods. Wolves are the most dangerous animal for humans. They look like cats but they have a larger body. They are very dangerous and their hunting instincts is second to none. They have huge teeth and are capable of ripping flesh. Crocodiles are the smallest animals. They are 1.8m long but can grow up to 4m in length. Crocodiles are mainly found in the Amazon. They are harmless animals that like to stay in the water. The smallest of all, is the puma. They are smaller than any of the above mentioned animals and have a fur that makes them look like a lion. The puma is the smallest cat and is known for being ferocious. They will fight to the death if it comes to it and will not hesitate to attack people if provoked. These animals will only eat meat from the animals they hunt. 

You are given a background paragraph that describes one or more causal or physical relationships, such as a relationship in economics, scientific law, or nature. You need to"
A2,"Marco stood at the door of Silvia's flat and watched Gabriel leaving. He looked carefully at his clothes and his shoes. Why didn't Silvia open the door? She was in there. Then suddenly it opened. 'Silvia dear' Marco said 'you look wonderful...' He stopped. Silvia didn't look wonderful. Her face was red and she looked unhappy. 'How did you come in my room, dear' Marco asked 'and what are you doing here?'. 'There's an electric socket here that's not working and I needed to fix the plug'. 'That's it? That's all you needed' Marco looked at Silvia and said 'I think you could've done better... I would've invited you in, but we have guests now. Please go upstairs, please...' Suddenly Silvia started crying. Marco asked 'What happened?' 'I saw you come in and that's why I came in. Please come in' 'What can I do for you dear? Please don't go upstairs. I don't want to see anybody now'. Marco looked around at Silvia again and said 'Please, come with me. I will take care of you.' He started walking. Suddenly he stopped and said 'Wait, please' and he walked back to his room. 'You shouldn't do that' Silvia said. Marco looked at her and said 'What? That's what I wanted to do. I wanted to look at you.' 'I can't do that now.' 'Why not? I would've invited you in, but you didn't accept.' 'You've invited too many people in recently. I can't cope with it.' Marco looked at her. 'OK. I'll see you tomorrow. I'm sorry.' And Marco went back to his room. 'You need to stop behaving like a child'"
