level,generated_story
A2,"Buildings People have always made buildings. We need houses to keep us warm and dry and we build stadiums so we can watch football matches and pop concerts. We use other buildings like museums to keep beautiful things in. Many people work together on a building. The architect decides how the building is going to look and draws pictures that show people his or her ideas. Engineers are the clever people who decide if the building is going to be strong enough and how it will be made.

Building a house

Building a house is the most important thing we do. Even before people could write, they built houses out of mud or wood. For centuries, people have built their houses out of stone. They used the stone as a wall to protect them from the cold winds. In more recent years, houses have been built out of concrete and brick. These are strong materials. People have also built houses out of wood. Wood is very beautiful and easy to work with. But wood is not as strong as concrete or brick. To make a house strong, the builder must use strong materials. But the house must be more than strong. It must be beautiful too. The builder must work carefully. The builder must make the house nice to live in. The builder must also make the house easy to keep clean. The builders must plan the house very carefully. They must decide where all the rooms are going to be. They must decide where the front door will be.

Building a school

Schools are very important buildings. They are where we learn and play. Before the nineteenth century, children mostly worked with their parents. School was different. Children went to a special place to learn, just like grown-ups. It was called a school. The school was a simple wooden building with a blackboard on the wall."
A2,"'No' said Harry. 'I won't go. I'm your best man and this town has problems.' 'Yes' said Paul 'you are my best man. But you must understand something. After we go the people here in Dante's Peak will stay. They have their shops and their businesses. You think only about volcanoes but this is about money too.' 'OK' Harry said with a smile. 'We'll do it. I'll do anything for you. I'll be your best man.'

Harry Dalton and Rachel Wando are a geologist and seismologist, married, with one son. Rachel works for the government, Harry freelances but the two are in constant contact and collaboration. When Rachel is assigned to study Dante's Peak, a mountain in Washington state, she flies out there alone. As she travels there, Harry takes the opportunity to go skiing with his son. When Rachel calls to announce they should be looking at a possible evacuation, Harry leaves his son with his friend, Paul Dixon, and rushes out to meet her.

He arrives in the small town to find Rachel and her team, including geologist Jeff, have discovered a crater in the ice at the top of the mountain. It is an active volcano. Rachel estimates that it could erupt in six to eight days. The town has an evacuation plan, but it is for a more distant eruption. Harry suggests they should evacuate the town, but their superiors don't listen and he is sent home.

In the days that follow, Harry continues to try and convince the Mayor of the town of the imminent danger of the eruption. Even after he manages to get the attention of local TV station manager, Paul Dixon, who was Harry's best man at"
A2,"Careful! Fight with your head don't fight with your heart boy!' shouted Bowen. The knight wanted to make Einon a good fighter. But he also wanted to teach him the Old Code. Sir Bowen and all the kings princes and knights before him were Knights of the Old Code. For thousands of years kings were kind to peasants and knights helped kings. Knights followed a code of honor, the same code of honor that Sir Bowen's father and grandfather had followed. A code of honor is like a list of promises. Like rules that tell you how to live. A code is something you promise to do. Like promising to be good to your little sister. Or promising to clean up your toys. The knights in King Henry's England followed the Old Code. The king made them fight to protect his land and his people. And in return, knights lived according to the Old Code. The first rule of the Old Code said that a knight must never be a coward. A knight had to be brave. If a knight was a coward, he broke the code. The second rule of the Old Code said that a knight must never hurt his fellow knight. If a knight fought with his fellow knight, he was disgracing himself. The third rule said that a knight must help his fellow knight. He had to be brave when his fellow knight was in trouble. He had to be strong when his fellow knight was weak. The fourth rule of the Old Code was to never go back on your word. Never tell a lie, and never break a promise. The fifth rule of the Old Code said that a knight must love a woman with his whole heart. A knight must always be kind to her. The sixth rule of the Old Code said that"
A2,"The History of Farming Before people started farming they went to the forest to look for plants or fruit they could eat. This meant that people were moving all the time to find food. But about 12000 years ago in the Middle East people began to grow food. These people were the first farmers. They started farming at this time because there were fewer wild food sources and their population was growing. They needed to find a way to grow their own food.

As more people started to farm, they developed new farming tools. Farmers found out that they could get more food if they planted their seeds in a straight line instead of scattering them randomly. So they planted rows of seed, and they used a simple tool called a hoe to turn over the dirt and make it easier for the seeds to grow.

Farmers also began to grow more than one type of plant in their fields. They found that if they planted different plants together, the crops would be healthier. This is because different plants help each other to grow better.

At first, farmers planted seeds by hand. But as time passed, they started to develop tools for planting seeds. They made a small stick with a pointy end and placed the seed at the end of the stick. Then they pushed the stick into the ground to plant the seed. This stick is still used in farming today.

Farmers also discovered that they could make their crops grow better by adding extra nutrients to the soil. They learned that different crops need different types of nutrients. So they began to rotate their crops so that the land would not become exhausted of certain nutrients. They also started to use fertilizers to add more nutrients to the soil.

"
A2,"ICE-FISHING If you drive north from Toronto for three hours you come to Lake Nipissing. In winter the lake becomes ice and thousands of Canadian fishermen travel there each weekend. They build little houses of wood on the ice and paint them in bright colours. Then they sit inside to catch the fish that swim under the ice. The first ice-fishers come from very far away, even from America. They are so excited to see new places. The ice-fishers need special gear and when they arrive they use a pick-axe to break the ice. Then they make holes and put the fish right in their buckets. Some of the ice-fishers live in houses by the lake and they do not need to travel far. They have a wooden house and they live with their family. They use a generator to create electricity. This is for lights and for the radio to listen to. They also use the electricity for the TV so they can watch the hockey games in the evening. They can also cook on the wood stove and keep warm. The wood stove is the most important thing. On the weekend, the ice-fishers' friends come to visit. They have a big party and they eat ice cream. They are very happy, just like you and me.

Sometimes the weather is very cold and the ice-fishers cannot stay outside for long.

Sometimes the ice is so thin that it breaks when they walk on it. If that happens, the fish will swim away and the ice-fishers will not be able to catch any fish at all.

The biggest fish you can catch is a pike. You can eat this fish as a meal. If the pike is not big enough to eat, then the ice-fishers let the"
A2,"A man heard me and looked round. Then this big man saw me in the corn. He walked to me and I began to shout loudly: ' His foot is going to kill me ! ' The man stopped. For a minute he looked down at me carefully. (We look at a small animal in the same way and think: 'Will it hurt me? Will it help me ?') Afterwards, he smiled and walked away. I was a little frightened but I followed him. (I did not go nearer.)

I thought to myself: 'It is lucky that I am a small animal!' But it is not so true. For a man in the fields has all the reasons, if he wishes, to kill us. A man in the fields can help us or hinder us but he does not have to help or hinder us.

We have to work much to live. For a man, to live means to work. But we do it very simply, even in a beautiful world. When people say we are happy, I think they are not right. Sometimes we are sad. Sometimes we are angry. Sometimes we are afraid. But often we are afraid. Perhaps we are afraid of everything. Perhaps we are afraid of nothing.

I do not know, But I know this: in the past, men never wanted to help us. Now they can, but they do not. They do not help us. They do not hurt us. They do not care if they hurt us or if they help us.

I do not know why this is so. I can not see why it is. But I know this: it is no good to think of why. We can not change them or their work. We are too small and too little.

But we can change ourselves. When"
A2,"Memo To: All staff Subject: Holidays From: D Brown Date: 22.2.02 I am planning the holidays for next year. Please tell me when you would like to take your holiday. If possible could you give me two dates? Please give me your answer by the end of the month. Thank you. Dear D Brown, Firstly I would like to say that I am not sure why I was made to read this to the class. I would like to say though that I should be in my home, not at work when writing this reply. This is because I am a teacher. It is very obvious that I am not going to be at work anytime soon and therefore you will have to look after yourself whilst I am gone. Therefore I suggest that instead of asking us what our holiday times are (as if we give a monkeys) you consider when you have had your holidays and decide to come back to work, leaving us a note on the pin-board on the way out to indicate when you will be back. My recommendation would be that the rest of the teaching staff should do the same. Furthermore, I would like to say that this is a gross misuse of company property. It’s your memo, you should pay for it. I should also like to remind you that even if you are not at work, you still have a responsibility for the students under your care and you are obliged to inform the departmental head of your absence (and I don’t mean you just write it up in the memo). There will be no replies unless it is to question the reason behind this memo. Yours sincerely, The teaching staff. P.S. Can you tell us when your expected day of return is? Just for information purposes. P.S."
A2,"New books this month The Long Night This is David Reilly's first book. David became a writer after teaching English for several years. Maha is a nurse in northern Australia where she works in a small hospital. One day a baby is so ill that Maha has to drive all night to get her to the nearest big city. On the way she picks up two people who claim to have been mugged and are hitchhiking to the city. They tell Maha that they are going there for a job interview and the police have told them that they will never get a job if they don't get to the city. But when Maha gets to the city, she finds out that the baby is missing from the hospital and she knows that she has been... (Untitled) 2014-10-03T18:13:27+00:002014年10月3日 18:13:27 +00002014-10-03T18:13:27+00:002014年10月3日 18:13:27 +00002014-10-03T18:13:27+00:002014年10月3日 18:13:27 +00002014-10-03T18:13:27+00:002014年10月3日 18:13:27 +00002014-10-"
A2,"Big cats There are many different kinds of cats. They are different in size and they do not look or act the same. Tigers are the biggest cats. From head to tail they can be 3.7m long. Most cats don't like water but tigers will often lie in a pool of water when it is hot! Tigers have special thick fur on their feet to protect them from cold ground or the spines of porcupines. There are many different species of cat but there are only six species of big cat:

1. Lions
2. Tigers
3. Jaguars
4. Leopards
5. Cheetahs
6. Snow Leopards

There are only six species of big cat but there are many different sub-species - different types within a species. There are about fifty different types of big cats in total. Lions are the only cats that live in a group and they sleep in a group called a pride. Tigers are solitary cats, they do not live in groups.

Did you know that a group of monkeys is called a tribe?

Fossil bones show that cats have been around for about 20 million years. Cats and humans have been neighbours for only about 7,000 years. Cats are one of the most important animals to have lived on earth. They eat lots of animals which helps to keep their population under control. For example, they keep the number of rats and mice down, which can cause a lot of damage to buildings.

The snow leopard

The snow leopard is the largest cat that lives in the mountains. They live in the cold high places. Their coat has lots of thick fur to protect them"
A2,"Marco stood at the door of Silvia's flat and watched Gabriel leaving. He looked carefully at his clothes and his shoes. Why didn't Silvia open the door? She was in there. Then suddenly it opened. 'Silvia dear' Marco said 'you look wonderful ...' He stopped. Silvia didn't look wonderful. Her face was red and she looked unhappy. 'Please Marco, don't say anything.' She said. 'Why Silvia?' he asked. Then Silvia explained. 'I saw the two of you leaving the office together.' She started crying, 'Gabriel told me he liked me and wanted to be my boyfriend.' She stopped, 'But we just talked at the office... I don't think he told me that...' Marco looked at his shoes again and said 'Yes, that's true, maybe Gabriel was ... joking... Silvia, dear, I promise you I am telling the truth...' Marco hoped Silvia would believe him and they could start living happily.

The use of past simple in this text refers to events that have already happened, and the use of present perfect suggests an action that hasn't happened in the past, but it's already accomplished in the present moment.

Marco:
- Used past simple to say 'I watched Gabriel leaving' and 'I looked at my shoes'.
- Used present perfect to say 'I promise you I am telling the truth', referring to an action he hasn't done in the past, but he is doing it in the present moment.

Silvia:
- Used past simple to say 'I saw', 'Gabriel told me' and 'we just talked', referring to events that already happened.
- Used present perfect to say 'I don't think he told me that'. She thought"
