level,generated_story
1,"Given this prompt: adventures
    
    Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale.
    For your guidance, example books in this level of complexity include Little Women by Louisa May Alcott, The Adventures of Tom Sawyer by Mark Twain, and The Road Not Taken by Robert Frost.
    
    Output the generated story directly.
     This story is about a boy named Ben who was very curious about nature. He first heard about the magic of trees. He then heard about the magic of animals. Next he read about the magic of water. When he looked at all of these things together, he realized that they had created all of the beautiful things that they had. Ben loved all of the magic things, and he wanted to share them with others.

This is the first time that you will have a story written by a fellow writer, and we hope that you will like it. The story is about a boy who was curious about everything. When he was five years old, he heard about something that was magic. He found out later that it was trees. Trees were really magic. He loved trees and the other magic things. He also loved animals because they were also magic. Next he read about the magic of water. When he looked at all of these things together, he realized that they had created all of the beautiful things that they had. Ben loved all of the magic things, and he wanted to share them with others.

This is the first time that you will have a story written by a fellow writer, and we hope that you will like it. The story is about a boy who was curious about everything. When he was five years old, he heard about something that was magic. He found out later that it was trees. Trees were really magic. He loved trees and the other magic things"
1,"Given this prompt: mysteries
    
    Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale.
    For your guidance, example books in this level of complexity include Little Women by Louisa May Alcott, The Adventures of Tom Sawyer by Mark Twain, and The Road Not Taken by Robert Frost.
    
    Output the generated story directly.
     ""I Found a Grave,"" a short story by Kate Chopin

This is a mystery, and one of the characters is a ghost. It takes place over three nights.

I opened the window and leaned against it, staring out into the night air. It was a warm autumn night; the air smelled of leaves and freshly mown lawns. I heard a click. It sounded like someone walking across the cement driveway and then running in the direction of the house. I had no doubt that someone had been in the back room of the garage, where there was no light and the dust had never been vacuumed out of the dusty shelves. I kept my window wide open. I waited. Nothing. The clock on the dining room wall said ten-fifteen. I went to the kitchen, opened the refrigerator door, and looked inside. Nothing but ice cream and old bottles. The refrigerator door clicked, and the ice cream disappeared. I knew who it was. I closed the refrigerator and opened the back door. I saw the man walk across the lawn toward the house. It was a boy, a child, probably nine or ten years old. I waited. The boy was obviously nervous, but still he moved slowly across the yard and headed for the back door. I had to be certain, so I peeked inside the garage. There, next to the large pile of metal and wood, was a small hole in the concrete where someone had been. A shovel lay nearby"
1,"Given this prompt: legends
    
    Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale.
    For your guidance, example books in this level of complexity include Little Women by Louisa May Alcott, The Adventures of Tom Sawyer by Mark Twain, and The Road Not Taken by Robert Frost.
    
    Output the generated story directly.
     To say that legend has a meaning to a person may be too literal.
The word legend, according to Merriam-Webster, is defined as : a person whose or something's reputation, reputation, or achievements are regarded as especially remarkable ; a person with an unblemished reputation.
As in, ‘my husband has a legendary sense of humor’.
So in that sense, legend can be used as a metaphor. But that doesn’t mean people would immediately understand. They would still think ‘he has a reputation of being lazy’. So he is still a legend as far as his reputation goes.
So when you speak of a legend, you can never speak of just someone’s reputation. You would have to include a physical feature they possess. And that physical feature makes them a legend.
Because that physical feature makes you believe they’re legendary.
So for example, when you speak of Elvis Presley, his name would be in the title. But that doesn’t mean you’d automatically assume he was legendary.
When you speak of the Dalai Lama, you would know that he’s a famous person. But that’s all he is to you. The Dalai Lama is just another person. He has no legend of his own, but he is a legend to you. Because he is well known. Because he is a holy being, and he’s a"
1,"Given this prompt: dreams
    
    Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale.
    For your guidance, example books in this level of complexity include Little Women by Louisa May Alcott, The Adventures of Tom Sawyer by Mark Twain, and The Road Not Taken by Robert Frost.
    
    Output the generated story directly.
     A woman dreamed she walked down the street, with a strange dog by her side. The dog jumped through a window and into an old woman’s kitchen. She asked, “What is this all about?” Then the dog said, “Your husband is here looking for you. And I can take you home if you want to go with him!” The woman thanked the dog, put on her coat, and gave the dog a piece of paper. But just as the woman went outside, she spotted her husband’s car. She decided to stay, as the strange dog seemed friendly. She took a look around, and noticed that her husband was still inside the old woman’s kitchen. And the strange dog was there, too! Then the woman realized she didn’t know what to do next. She didn’t see her daughter in her house, either! The strange dog said, “Let’s just stay here and be quiet.” The woman thought about this for a minute, and finally decided she should call her husband. She reached inside her purse and pulled out her phone. She called her husband, and then the dog said, “It’s time.” The strange dog stood up, opened the old woman’s kitchen window, and jumped into the air! But the woman was still inside the old woman’s house, and she didn’t hear the"
1,"Given this prompt: secrets
    
    Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale.
    For your guidance, example books in this level of complexity include Little Women by Louisa May Alcott, The Adventures of Tom Sawyer by Mark Twain, and The Road Not Taken by Robert Frost.
    
    Output the generated story directly.
     ""Secrets"" is a short story in the genre of dark fiction. I wrote this for a school project, and I chose this topic to fit the story into what I thought was more realistic to the world we live in today. The story involves a young girl who lives in an abandoned building, and has many odd experiences in her new home. The girl also has a family secret. This secret changes her life forever. The story is based on a secret, and the theme is that secrets can change lives for the better or for the worse. 
I thought that it would be fun to include some fantasy elements into this story, such as a ghost story, a witch, and some other things. The theme of the story is that secrets change lives for the better or for the worse. I had to work hard to find some balance between the dark fantasy story, and the lighthearted feel of the writing style. In the end, I think it was a nice mix, and the students enjoyed the story.
""Secrets"" is a good story for middle schoolers to read. It is a story that involves secrets, and the characters change throughout the story. The story also has a happy ending, but it has a bittersweet flavor as the two main characters have lost a loved one. The story is a good fit for middle school students because of this element, and also because of the fantasy elements. It is recommended for grades 6 to 8. 
""Secrets"""
1,"Given this prompt: journeys
    
    Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale.
    For your guidance, example books in this level of complexity include Little Women by Louisa May Alcott, The Adventures of Tom Sawyer by Mark Twain, and The Road Not Taken by Robert Frost.
    
    Output the generated story directly.
     A bright morning in a small town in Michigan. There was a new restaurant, opened this morning. It was new and fancy. It had everything a restaurant needed, plus a lot of things a lot of people didn't need. This restaurant was called the Roxy, in a homage to one of Hollywood's most famous love stories: Romeo and Juliet.
People were excited about the opening of the restaurant. All over town, there were people gathering to watch the opening, cheering and cheering. The town was proud of this new development.
Suddenly, a car crashed into a tree in front of the Roxy, and its driver was dead. No one knew who the car's driver was, but everyone was worried. The crash was too awful to be a car accident. There was no way that this person could have accidentally driven into the tree. Who was this driver?
A man who was named Peter left the police station, and started going over everything that happened. He looked around town for anyone who might be able to help him figure out the mystery. Nobody was helping anyone else, but Peter walked slowly and silently. He was sad, and frustrated.
Peter walked through the town, and then stopped at a house near the bank. He knocked on the door. ""Please open the door for me,"" he said. No one answered, but the door was unlocked. Peter entered the house.
As he looked around, he realized that he had left his camera at the restaurant"
1,"Given this prompt: treasures
    
    Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale.
    For your guidance, example books in this level of complexity include Little Women by Louisa May Alcott, The Adventures of Tom Sawyer by Mark Twain, and The Road Not Taken by Robert Frost.
    
    Output the generated story directly.
     The treasure was a chest of jewels which, if it was opened, would give all of the treasures in the world. The treasure was locked in a room and nobody knew what it was. They only knew that somebody must have left it there. They even knew who that somebody was. They did not know it, but they knew the identity of the treasure. Their only clue about the treasure was the chest itself. But the clues were a little more complicated than they seemed. 
The room was a room of mystery to most people. The key, which was actually a diamond ring, was on the finger of the guard. As soon as the guard left, one of the thieves opened the chest. When the treasure opened, it revealed the diamonds. The three thieves were able to make it to the end of the level. They were chased by a lot of guards, but they made it to a castle. But there was not much treasure there. They went to the treasury, which was hidden in the underground. They opened the treasury and found out that the treasures in the world were less than what the gems in the chest. The three thieves were really disappointed. They went home and cried for a few hours. That night, they were able to fall asleep but were really disappointed.
The next day, all three thieves decided to do something about the situation. The first thief was really angry. He thought the level was rigged against him. He felt that all of the guards were really loyal"
1,"Given this prompt: quests
    
    Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale.
    For your guidance, example books in this level of complexity include Little Women by Louisa May Alcott, The Adventures of Tom Sawyer by Mark Twain, and The Road Not Taken by Robert Frost.
    
    Output the generated story directly.
     After the death of her beloved father, Lavinia O'Brien finds her family in turmoil. Mr. O'Brien had always been kind and gentle to everyone, but he had become very ill and Lavinia did not get along with his wife. She did everything in her power to push them apart and to find her own path in life. She could not stand watching her father suffer and she blamed herself. The rest of the family blamed her. The funeral was long and sad and everyone wanted to be as far away from each other as possible. As Mr. O'Brien's remains were lowered into the ground, his daughter felt a great sadness. She knew her life would never be the same again. Her mother did not like that her husband had wanted to bury Mr. O'Brien at sea. She did not want to take the chance that he could be lost at sea. Her father could not be buried near the sea without a life boat, but this was a decision made many years ago. This was their way of honoring him and they would not give that up. They could not bring themselves to go to Mr. O'Brien's grave. It would be the worst day of Lavinia's life. Lavinia knew it would also be a day that would forever change her life. When the sun went down that day she felt it was her duty to speak with the man who had killed her father. She had to speak to him. It was a duty"
1,"Given this prompt: battles
    
    Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale.
    For your guidance, example books in this level of complexity include Little Women by Louisa May Alcott, The Adventures of Tom Sawyer by Mark Twain, and The Road Not Taken by Robert Frost.
    
    Output the generated story directly.
     At age 19, a hero takes the place of his country. To support his friends during the invasion of France, he joins the French army. He's the only one who can see the enemy through the fog, he's the only one who can tell the wounded from the dead, he's the only one who can save lives. But he is not the first hero. When he returns to the US, he is not welcomed with a hero's welcome. His father says he can't go off to fight the war without consulting him. That night he dreams about the first battle, it was the night he became a soldier. His father tells him he was young, inexperienced and the reason France lost the first battle. But now he's old, experienced, a leader and the reason France won the first battle. His father tells him to go to France with his men, tell them he's the new commanding officer and send them to conquer the land. That's exactly what he does, but the second battle is different. He has a problem, he doesn't know which men are the dead and which are the wounded. He calls for them and names only the wounded. He tells the dead to go home and asks the wounded to come to the front. He knows what to do. The third battle follows the same pattern, but now he's alone. He sees dead French soldiers come towards him, he can feel their cold breath on his face, and he can hear the screams of those who"
1,"Given this prompt: myths
    
    Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale.
    For your guidance, example books in this level of complexity include Little Women by Louisa May Alcott, The Adventures of Tom Sawyer by Mark Twain, and The Road Not Taken by Robert Frost.
    
    Output the generated story directly.
     Once upon a time, there was a woman who loved to read. Her name was Mary, and she was very happy.

She had everything that anyone could ever want: a warm fire, soft bed, lovely clothes, and a great book. 
She loved the way that all of her words lined up the same way in a book. It was just so pretty!

Mary loved to read and read and read. In fact, one day, after she had read every book in her house, she decided to go out to eat. 
She wanted to read in a place without books on her bed.

When she got to the restaurant, she looked at all of the other chairs and said, ""My God! Why did I ever decide to come here?"" 
But the restaurant had chairs that looked just like hers! They had the same shape and the same fabric.
Mary loved the way she could always find her chair because of the way it lined up with the other chairs.

Eventually, the restaurant was crowded and she needed to sit down in a seat that was not like her chair.
She was very annoyed by this, because her books lined up so neatly on her bed, but there were no chairs that looked like her bed.

After a while, the man with the big curly hair came over to her and asked, ""Are you okay?""
She looked at him and asked, ""What makes you think that I"
1,"Given this prompt: monsters
    
    Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale.
    For your guidance, example books in this level of complexity include Little Women by Louisa May Alcott, The Adventures of Tom Sawyer by Mark Twain, and The Road Not Taken by Robert Frost.
    
    Output the generated story directly.
     Monsters: The monster ran quickly through the grass, but the boy was faster. The boy leapt for a shrubbery and hit it with his elbow. He heard his shoe snap and the monster screamed. The boy jumped on the monster. “I know what you’re doing,” said the boy. He scratched the monster’s arm. “What’s that you’re doing?” said the monster. “You’re hiding so the police won’t find you!” screamed the boy. The monster laughed. “I don’t have a police to hide from. The monsters live in the forest.” “Tell the truth,” said the boy. “You did that to frighten me.” “I did that because I didn’t want to be found. It wouldn’t be fair for me to walk on two legs!” yelled the monster. The boy ran faster, but the monster was only a kid. The boy ran over a rock. “Did the giant frog tell you to do that?” shouted the monster. “He did!” said the boy. “But he was only a kid, too.” “He’s a monster now,” said the boy. The monster grabbed the boy. “You don’t have anything to fear"
