level,generated_story
A2,"Given this prompt: Buildings People have always made buildings. We need houses to keep us warm and dry and we build stadiums so we can watch football matches and pop concerts. We use other buildings like museums to keep beautiful things in. Many people work together on a building. The architect decides how the building is going to look and draws pictures that show people his or her ideas.
    
    Continue the story and make sure it is readable for A2 learners in the CEFR scale. 
    For your guidance, example books in this level of complexity include A Christmas Carol by Charles Dickens, The Adventures Of Huckleberry Finn by Mark Twain, and The Little Prince by Antoine de Saint-Exupery.
    
    Output the generated story directly.
     People have always built buildings. We need houses to keep us warm and dry and we build stadiums so we can watch football matches and pop concerts. We use other buildings, like museums, to keep beautiful things in. Many people work together on a building. The architect decides how the building is going to look and draws pictures that show people his or her ideas.
    
    Continue the story and make sure it is readable for A2 learners in the CEFR scale. 
    For your guidance, example books in this level of complexity include A Christmas Carol by Charles Dickens, The Adventures Of Huckleberry Finn by Mark Twain, and The Little Prince by Antoine de Saint-Exupery.
    Output the generated story directly.People have always made buildings. We need houses to keep us warm and dry and we build stadiums so we can watch football matches and pop concerts. We use other buildings, like museums, to keep beautiful things in. Many people work together on a building. The architect decides how the building is going to look and draws pictures that show people his or her ideas.
    
    Continue the story and make sure it is readable for A2 learners in the CEFR scale. 
    For your guidance, example books in this level of complexity include A Christmas Carol by Charles Dickens, The Adventures Of Huckleberry Finn by Mark Twain, and The Little Prince by"
A2,"Given this prompt: 'No' said Harry. 'I won't go. I'm your best man and this town has problems.' 'Yes' said Paul 'you are my best man. But you must understand something. After we go the people here in Dante's Peak will stay. They have their shops and their businesses. You think only about volcanoes but this is about money too.' 'OK' Harry said with a smile.
    
    Continue the story and make sure it is readable for A2 learners in the CEFR scale. 
    For your guidance, example books in this level of complexity include A Christmas Carol by Charles Dickens, The Adventures Of Huckleberry Finn by Mark Twain, and The Little Prince by Antoine de Saint-Exupery.
    
    Output the generated story directly.
     Harry had a lot of work to do. He wrote down a list of all the requirements that he had to consider for his wedding. This way he could do it all at one time. Next, he started a notebook to write down the plans he made. He thought it would be the best way, for he was a very hard worker.
The week before his wedding he started to do some things around the house. He painted the walls and the floor. He also gave the house a new furniture. As the day came, he was ready for his big day. Paul arrived at the house early and helped Harry with the preparations for the wedding. The people arrived and Harry knew that his wedding would be very successful.
As the day ended, the guests started to leave. But Paul told him that they needed to have some drinks first. They went to the pub for a drink and then headed back to the house. Before he went, Harry thanked him and told him that he was very helpful and he hoped to work together for a long time. The next day they started the drive home, they made it in a very late night. The next day Harry and Paul started to clean the house. After a few hours, Harry left and went to work. The next morning he woke up and realised he made a mistake. He called Paul but he didn't answer. When he saw that it wasn't him, he decided to go to the pub. When he arrived, he saw that"
A2,"Given this prompt: Careful! Fight with your head don't fight with your heart boy!' shouted Bowen. The knight wanted to make Einon a good fighter. But he also wanted to teach him the Old Code. Sir Bowen and all the kings princes and knights before him were Knights of the Old Code. For thousands of years kings were kind to peasants and knights helped kings.
    
    Continue the story and make sure it is readable for A2 learners in the CEFR scale. 
    For your guidance, example books in this level of complexity include A Christmas Carol by Charles Dickens, The Adventures Of Huckleberry Finn by Mark Twain, and The Little Prince by Antoine de Saint-Exupery.
    
    Output the generated story directly.
     The day began like all the others. Einon had worked hard for the royal treasury and earned a bit of money. That's why he was dressed well. He had been a king's page for many years. He always loved it when the king came to visit his kingdom. That day the king was coming to have a feast and to meet some of his subjects. Einon looked so handsome. He wore a light blue cloak with a golden pin in the middle. He also had a silver sword at his right side and on his left he had a beautiful golden helmet. But he was not very famous among the people, because he was too quiet and a bit shy. 
    
    The king was tired because he had worked very hard for the last months. But he still enjoyed all the events that his kingdom held. The people were the most important thing for him and he was always glad when they were happy. The sun shone warmly through the golden leaves of the fir trees. Everyone enjoyed the moment. There was no more people around the king. He sat on a red carpet on the lawn. As the king was thinking about all the good things, he spotted Einon. The knight approached slowly, so that Einon could greet him first.
    
    The king felt sorry for the boy. He didn't know what was going through the king's mind. But he did know that he was"
A2,"Given this prompt: The History of Farming Before people started farming they went to the forest to look for plants or fruit they could eat. This meant that people were moving all the time to find food. But about 12000 years ago in the Middle East people began to grow food. These people were the first farmers.
    
    Continue the story and make sure it is readable for A2 learners in the CEFR scale. 
    For your guidance, example books in this level of complexity include A Christmas Carol by Charles Dickens, The Adventures Of Huckleberry Finn by Mark Twain, and The Little Prince by Antoine de Saint-Exupery.
    
    Output the generated story directly.
     The History of Farming Before people started farming they went to the forest to look for plants or fruit they could eat. This meant that people were moving all the time to find food. But about 12,000 years ago in the Middle East, people began to grow food. These people were the first farmers.
                                                                                                                                                                                                                                              "
A2,"Given this prompt: ICE-FISHING If you drive north from Toronto for three hours you come to Lake Nipissing. In winter the lake becomes ice and thousands of Canadian fishermen travel there each weekend. They build little houses of wood on the ice and paint them in bright colours. Then they sit inside to catch the fish that swim under the ice.
    
    Continue the story and make sure it is readable for A2 learners in the CEFR scale. 
    For your guidance, example books in this level of complexity include A Christmas Carol by Charles Dickens, The Adventures Of Huckleberry Finn by Mark Twain, and The Little Prince by Antoine de Saint-Exupery.
    
    Output the generated story directly.
     The fishermen lived on the North shore of Lake Nipissing. On the weekends they came over to Ice fishing. When the water was very cold they would sleep on the ice and when it got warmer they would build huts and fish from the outside. They would go to the fishing ground once a week during the summer, the first day after the full moon. They would stay in the fishing hut for the whole night.
    
    During the winter they went to the ice hut every weekend, starting on the third day after the full moon. They slept on the ice that was in front of their huts. The fish would come swimming under the ice.
    
    ""Every day there would be a new catch!"" said John, the oldest one of the four fishermen.
    
    ""The fish would be so cold that you would have to eat a lot of them to get warm"" said Alice, ""because fish are cold-blooded animals.
    
    ""But when you cook them they become very tasty. Every night I try to cook as many fish as I can.""
    
    ""I don't want to stay in the hut too long"" said Sam. ""My brother Billy comes back on holiday in a couple of days and I know he likes to eat the best fish. He is always asking me for"
A2,"Given this prompt: A man heard me and looked round. Then this big man saw me in the corn. He walked to me and I began to shout loudly:'His foot is going to kill me!'The man stopped. For a minute he looked down at me carefully. (We look at a small animal in the same way and think: 'Will it hurt me?
    
    Continue the story and make sure it is readable for A2 learners in the CEFR scale. 
    For your guidance, example books in this level of complexity include A Christmas Carol by Charles Dickens, The Adventures Of Huckleberry Finn by Mark Twain, and The Little Prince by Antoine de Saint-Exupery.
    
    Output the generated story directly.
     Heard me and looked round. Then this big man saw me in the corn. He walked to me and I began to shout loudly:'His foot is going to kill me!'The man stopped. For a minute he looked down at me carefully. (We look at a small animal in the same way and think: 'Will it hurt me?') Then he said to me:'I'm afraid I'm not much of a judge of men. But I think I've got it right this time.' 'Why have you decided to help me?' I asked. 'Because I think you're a witch,' he replied. 'Well, I'm not!' I answered. 'You can't be sure of that,' he said, 'unless you eat one of the small creatures you've been growing. They're harmless, but they do taste rather nice.' I was curious about what he meant so I said: 'I'm not eating them. They're very small, but I'm not about to waste my time hunting for food in the dark. I don't know if you are or not, but I'm going home now and don't intend to go anywhere else.' He seemed upset by this and said he was sorry we'd had to part that way. I said that was all right and I walked away to go home. When I reached my house, I had trouble finding the door. And then I realized that I had forgotten my keys. I tried the door,"
A2,"Given this prompt: Memo To: All staff Subject: Holidays From: D Brown Date: 22.2.02 I am planning the holidays for next year. Please tell me when you would like to take your holiday. If possible could you give me two dates? Please give me your answer by the end of the month. Thank you.
    
    Continue the story and make sure it is readable for A2 learners in the CEFR scale. 
    For your guidance, example books in this level of complexity include A Christmas Carol by Charles Dickens, The Adventures Of Huckleberry Finn by Mark Twain, and The Little Prince by Antoine de Saint-Exupery.
    
    Output the generated story directly.
     The Boss asks me to suggest his holiday plans. He wants to take two weeks of rest.

""I want to take a week off at the beginning of December.""

""I am going to take a week off in mid-December.""

""I would like to go on holiday at the end of the month.""

""I would like to go on holiday in February.""

I would like to take a week of holiday beginning of December.

I would like to go on holiday in mid-December.

I would like to go on holiday at the end of the month.

I would like to go on holiday in February.

Done!The Boss wants to take two weeks of holiday, and to do that, he has asked me to suggest when he should take the holiday and the duration of the holiday. He says that he wants to take a week off at the beginning of December.

""I would like to take a week off in the beginning of December.""

""I would like to take a week off in mid-December.""

""I would like to go on holiday at the end of the month.""

""I would like to go on holiday at the end of the month.""

I would like to take a week of holiday in the beginning of December.

I would like to go on holiday at the end of the month.

I would like to go"
A2,"Given this prompt: New books this month The Long Night This is David Reilly's first book. David became a writer after teaching English for several years. Maha is a nurse in northern Australia where she works in a small hospital. One day a baby is so ill that Maha has to drive all night to get her to the nearest big city.
    
    Continue the story and make sure it is readable for A2 learners in the CEFR scale. 
    For your guidance, example books in this level of complexity include A Christmas Carol by Charles Dickens, The Adventures Of Huckleberry Finn by Mark Twain, and The Little Prince by Antoine de Saint-Exupery.
    
    Output the generated story directly.
     New books this month: The Long Night 
       This is David Reilly's first book. David became a writer after teaching English for several years. Maha is a nurse in northern Australia where she works in a small hospital. One day, a baby is so ill that Maha has to drive all night to get her to the nearest big city.
     
    Continue the story and make sure it is readable for A2 learners in the CEFR scale. 
    For your guidance, example books in this level of complexity include A Christmas Carol by Charles Dickens, The Adventures Of Huckleberry Finn by Mark Twain, and The Little Prince by Antoine de Saint-Exupery.
    Output the generated story directly.
       New books this month: The Long Night 
       This is David Reilly's first book. David became a writer after teaching English for several years. Maha is a nurse in northern Australia where she works in a small hospital. One day, a baby is so ill that Maha has to drive all night to get her to the nearest big city.
     
    Continue the story and make sure it is readable for A2 learners in the CEFR scale. 
    For your guidance, example books in this level of complexity include A Christmas Carol by Charles"
A2,"Given this prompt: Big cats There are many different kinds of cats. They are different in size and they do not look or act the same. Tigers are the biggest cats. From head to tail they can be 3.7m long. Most cats don't like water but tigers will often lie in a pool of water when it is hot!
    
    Continue the story and make sure it is readable for A2 learners in the CEFR scale. 
    For your guidance, example books in this level of complexity include A Christmas Carol by Charles Dickens, The Adventures Of Huckleberry Finn by Mark Twain, and The Little Prince by Antoine de Saint-Exupery.
    
    Output the generated story directly.
     Big cats have their differences. For example, the leopard is much smaller than the tiger. Some cats are not afraid of water, while others are very reluctant. For example, the lion will often lie in a pool of water in hot weather when it is not necessary. 
    
    Continue the story and make sure it is readable for A2 learners in the CEFR scale. 
    For your guidance, example books in this level of complexity include A Christmas Carol by Charles Dickens, The Adventures Of Huckleberry Finn by Mark Twain, and The Little Prince by Antoine de Saint-Exupery. 
    
    Output the generated story directly.

                                                                                                                                                      "
A2,"Given this prompt: Marco stood at the door of Silvia's flat and watched Gabriel leaving. He looked carefully at his clothes and his shoes. Why didn't Silvia open the door? She was in there. Then suddenly it opened. 'Silvia dear' Marco said 'you look wonderful...' He stopped. Silvia didn't look wonderful. Her face was red and she looked unhappy.
    
    Continue the story and make sure it is readable for A2 learners in the CEFR scale. 
    For your guidance, example books in this level of complexity include A Christmas Carol by Charles Dickens, The Adventures Of Huckleberry Finn by Mark Twain, and The Little Prince by Antoine de Saint-Exupery.
    
    Output the generated story directly.
     Silvia looked terrible today. She always looked terrible and it was obvious that she was not feeling well. Marco had prepared a delicious Christmas dinner for her and she had refused to eat a single piece. Instead she had stared off into the distance and made long silent gestures with her hands. Marco was very worried about his wife. Today he was going to solve this mystery and find out exactly what was wrong. 'Silvia dear... I feel bad about not inviting you to dinner' Marco said 'please try it now and maybe you will change your mind'. 'I don't feel well' Silvia replied. 'But I love you and I will take care of you'. 'Okay dear' Marco said and smiled. He closed the door and knew he was on to a winner. The Christmas dinner was wonderful. The food was exquisite and Silvia looked very happy. Marco sat by her side while she ate and asked her how she was feeling. 'My headache is much worse than last time' Silvia replied 'last time I could not stop thinking about your cheating husband'. Marco stared silently at his wife for a moment before asking 'is there anything else you want to tell me'? Silvia shook her head. 'There is nothing else' she replied. Marco smiled. 'Would you like to come over to my place for a cup of tea?' Silvia looked at her watch and said'sure I would love that'. Then she sat next to Marco on his sofa and stared into his"
