level,generated_story
1,"Given this topic word: adventures          Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale and observes the following specifications:     1. Meaning or purpose: The text can range from containing a single level of meaning to multiple levels of meaning based on complexity. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     2. Structure: A text with low complexity tends to have simple, well-marked, and conventional structures, whereas a text of high complexity tends to have complex, implicit, and unconventional structures. Simple texts tend to relate events in chronological order, while complex texts make more frequent use of flashbacks, flash-forwards, and other manipulations of time and sequence. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     3. Lengths: That text that has longer words and longer sentences are more difficult to read than shorter ones. A text with many long words and/or sentences is thus rated by these formulas as harder to read than a text with many short words and/or sentences would be. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     Output the generated story directly.      An adventure in the woods. ""I found it!"" yelled Billy. He ran towards the clearing in the woods. There, he was amazed to see the pile of wood. ""It can't have taken very long to bring them over,"" he thought. And he quickly looked around to make sure no one had seen him. ""The dog!"" he thought. ""I should've checked first."" But even so, the pile of wood would have hidden him in a crowd. So he hurried home, where his mother was waiting. ""What have you done with all the wood?"" she asked. ""What wood?"" he replied. ""I haven't done anything with the wood."" ""Oh,"" she said. ""I'm still suspicious, mom,"" he said. ""You're a suspicious boy,"" she said. ""What else did you do today?"" ""I saw some mice in the kitchen, and I chased them around and around,"" he said, with a smile. ""There isn't any wood in the kitchen, son,"" she said. ""There is now,"" he said. ""What?"" she said. ""How do you know that?"" ""The wood is now in the woods,"" he said. ""Billy, you are lying,"" his mother said, ""and I don't like lies."" ""Come upstairs,"" he said. ""I want to"
1,"Given this topic word: mysteries          Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale and observes the following specifications:     1. Meaning or purpose: The text can range from containing a single level of meaning to multiple levels of meaning based on complexity. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     2. Structure: A text with low complexity tends to have simple, well-marked, and conventional structures, whereas a text of high complexity tends to have complex, implicit, and unconventional structures. Simple texts tend to relate events in chronological order, while complex texts make more frequent use of flashbacks, flash-forwards, and other manipulations of time and sequence. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     3. Lengths: That text that has longer words and longer sentences are more difficult to read than shorter ones. A text with many long words and/or sentences is thus rated by these formulas as harder to read than a text with many short words and/or sentences would be. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     Output the generated story directly.      Mysteries - A strange man named Sherlock Holmes lives in London. Sherlock Holmes is one of the most famous detectives in the world and he solves mysteries all over the world. Now his friend Dr. Watson comes to London to look for him, but when they got there they were so shocked that they almost died! The two men have met many strange and unusual places and creatures all around the world, and they don't know what are their real names or their real faces. In the end, Sherlock Holmes shows to Dr. Watson how to save the people who had almost died. They got a lot of adventures and interesting mysteries in their lives.      Sir Arthur Conan Doyle created this character by making a story that he wrote for the London Daily News. He didn't know that the character would develop into one of the most famous detectives ever, which is why there are so many famous movies based on his work. Many of his stories are a bit simple for a book about mystery, but that's because this genre tends to contain a lot of clichés. He was a very famous author at the time when he was writing this type of books, so there's no doubt that most of his stories will be familiar to modern audiences.       I am a little confused because I've read that the characters are not in fact real. The stories I've heard are that the stories are all fictitious stories based around real people who live in the past"
1,"Given this topic word: legends          Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale and observes the following specifications:     1. Meaning or purpose: The text can range from containing a single level of meaning to multiple levels of meaning based on complexity. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     2. Structure: A text with low complexity tends to have simple, well-marked, and conventional structures, whereas a text of high complexity tends to have complex, implicit, and unconventional structures. Simple texts tend to relate events in chronological order, while complex texts make more frequent use of flashbacks, flash-forwards, and other manipulations of time and sequence. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     3. Lengths: That text that has longer words and longer sentences are more difficult to read than shorter ones. A text with many long words and/or sentences is thus rated by these formulas as harder to read than a text with many short words and/or sentences would be. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     Output the generated story directly.      The story of Aarne, the boy who loved elves so much that he was turned into one. He was sad that his life as a boy was over, but the elves said that it was for the best. As he grew up, he realized that he would be happy in the afterlife. The elves said that after 1000 years of good deeds, he would get to see his family again, and he had 1000 days left to do that. After 1000 years, his family, led by his father, would arrive and visit him. One night, Aarne dreamt that he was an elf and his father asked where he was. Aarne said that he was asleep and the elf told his father to be calm because he was going to visit him the next morning. The following day, the elf went to see his friend Jotun, but when he arrived in Aarne's house he said that he had dreamed that he was an elf and he did not want to see Aarne again. When he returned home, he was sad that he had been unable to talk to his friend. The next day, he asked his mother if she had seen Aarne, but she said that the day before she had taken his friend to the fair, but when Jotun arrived at the fair, he told his mother that they were going to play ice hockey, and not go to see Aarne. The following day, when Jotun was alone, he"
1,"Given this topic word: dreams          Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale and observes the following specifications:     1. Meaning or purpose: The text can range from containing a single level of meaning to multiple levels of meaning based on complexity. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     2. Structure: A text with low complexity tends to have simple, well-marked, and conventional structures, whereas a text of high complexity tends to have complex, implicit, and unconventional structures. Simple texts tend to relate events in chronological order, while complex texts make more frequent use of flashbacks, flash-forwards, and other manipulations of time and sequence. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     3. Lengths: That text that has longer words and longer sentences are more difficult to read than shorter ones. A text with many long words and/or sentences is thus rated by these formulas as harder to read than a text with many short words and/or sentences would be. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     Output the generated story directly.      It was a beautiful day with a lot of sunshine, the birds were singing and the squirrels were doing their thing. Then an old man walked by wearing an old suit and a funny hat. The squirrels were very excited, as they were hungry for a treat, but the old man was just looking at their tree. He didn't say anything to them, and then he put his hat back on his head. As he did that, the squirrels jumped down from their tree and started running all over the neighborhood, and every single one of them wanted a piece of the old man's candy bar, especially the one who had the funny hat. The old man smiled at the squirrels, and then he went to his car and put the candy bar in the bottom basket. It was a huge candy bar, with a smiley face on the wrapper, and the old man had made a huge smile on his face as he put the candy bar in his car. He liked the candy bar because it was really big. So he smiled while he drove home. Then he opened the car door and he put the candy bar in the refrigerator, and then he put on his white pants and his long coat and he went to bed. The next day he took another piece of candy bar from the candy bar drawer, he walked to his table and he ate two pieces of candy bar. After that he had a nap, and then he went outside and he played with his dog and his cat and"
1,"Given this topic word: secrets          Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale and observes the following specifications:     1. Meaning or purpose: The text can range from containing a single level of meaning to multiple levels of meaning based on complexity. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     2. Structure: A text with low complexity tends to have simple, well-marked, and conventional structures, whereas a text of high complexity tends to have complex, implicit, and unconventional structures. Simple texts tend to relate events in chronological order, while complex texts make more frequent use of flashbacks, flash-forwards, and other manipulations of time and sequence. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     3. Lengths: That text that has longer words and longer sentences are more difficult to read than shorter ones. A text with many long words and/or sentences is thus rated by these formulas as harder to read than a text with many short words and/or sentences would be. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     Output the generated story directly.      The Secret Code: Secrets in My FamilyMy family is very strict, and very secretive. For that reason, my parents were suspicious of my little brother and me when we were little. Because we always hid when they were not looking, so they started to punish us for being too naughty. We have never got anything for our hard work. They said we should not get it, because it will help to prevent us from getting in trouble. However, I have to admit, I have gotten a little jealous about it. I wonder why they do not reward us for what we do and not the other way around. I can not wait for the time when I would be able to get what I worked so hard for. I wish they will think more about me and my brother and reward us for what we did for them and not the other way around. I hope that they will consider the fact that we have never got anything, not even just one sentence or word. I just want a simple sentence that says something like: “Work hard for your reward.”. I am ready to work hard for it.My family and I work too hard to get a reward for our effort. It seems unfair to me. My parents say they work hard so that they do not have to work again. In other words, they do not want to ever work again, because they believe that we will always help them and we should be rewarded by getting something to give them some pleasure in"
1,"Given this topic word: journeys          Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale and observes the following specifications:     1. Meaning or purpose: The text can range from containing a single level of meaning to multiple levels of meaning based on complexity. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     2. Structure: A text with low complexity tends to have simple, well-marked, and conventional structures, whereas a text of high complexity tends to have complex, implicit, and unconventional structures. Simple texts tend to relate events in chronological order, while complex texts make more frequent use of flashbacks, flash-forwards, and other manipulations of time and sequence. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     3. Lengths: That text that has longer words and longer sentences are more difficult to read than shorter ones. A text with many long words and/or sentences is thus rated by these formulas as harder to read than a text with many short words and/or sentences would be. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     Output the generated story directly.      This is a very difficult topic for a text because it is very broad and requires a variety of styles. There are many words which can be chosen: travels, journeys, routes, travels, journeys, journeys, journies, travels, ways.  Journeys can also be the whole word or the letter J. Also Journey can be followed by the word after the colon or it can be without the colon. For this project, we will choose journey. We will use all four options to describe something that we may want to go on, whether it is for pleasure, for work, or for the purpose of learning. It could be anything. We need a simple sentence that says something like: I want to go on a journey to X. My name is Lizzie. I want to go on a journey to X.My name is Lizzie. I want to go on a journey to X. Lizzie had to be at school by nine. She got there a minute late but her parents were pleased. Lizzie was pleased too. She was very proud to be going on a journey. What kind of journey? Lizzie's parents didn't know. It could be for work, for pleasure, or for learning. That's for Lizzie to decide. Lizzie and her parents were on the train when the conductor informed them that it was ten to seven. Lizzie thought there was a mistake"
1,"Given this topic word: treasures          Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale and observes the following specifications:     1. Meaning or purpose: The text can range from containing a single level of meaning to multiple levels of meaning based on complexity. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     2. Structure: A text with low complexity tends to have simple, well-marked, and conventional structures, whereas a text of high complexity tends to have complex, implicit, and unconventional structures. Simple texts tend to relate events in chronological order, while complex texts make more frequent use of flashbacks, flash-forwards, and other manipulations of time and sequence. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     3. Lengths: That text that has longer words and longer sentences are more difficult to read than shorter ones. A text with many long words and/or sentences is thus rated by these formulas as harder to read than a text with many short words and/or sentences would be. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     Output the generated story directly.      When I was a small boy, my dad would always tell me, ""Son, treasure is when you come across something wonderful, something amazing, but it is not expected."" I still remember his words and, even today, I treasure them. What he was saying is that treasure is not something that you look forward to, but that you seek out when you have an urge to go outside and find something. Treasure is also what you find when you do seek it out. The best treasure is not something material and physical; the best treasure is something that is spiritual and that has great meaning. The best treasure is the one that grows out of your faith and that brings you closer to God. Just as a father will hide a treasure in a place you would not expect, so will the Lord, the God of the universe. So, my father says that treasure is when something amazing comes out of God. God has a treasure to give you when you walk in faith and trust. He has an amazing thing to give you that you never knew you were looking for. You may not even realize at first what treasure you have been given, but, just like that son who always waited until his dad said the word, so you must be like the father, waiting for your father to say the word and to give you something wonderful. You should treasure your father's words like I treasure my father's words.     In this lesson, you are going to learn about treasure, about"
1,"Given this topic word: quests          Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale and observes the following specifications:     1. Meaning or purpose: The text can range from containing a single level of meaning to multiple levels of meaning based on complexity. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     2. Structure: A text with low complexity tends to have simple, well-marked, and conventional structures, whereas a text of high complexity tends to have complex, implicit, and unconventional structures. Simple texts tend to relate events in chronological order, while complex texts make more frequent use of flashbacks, flash-forwards, and other manipulations of time and sequence. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     3. Lengths: That text that has longer words and longer sentences are more difficult to read than shorter ones. A text with many long words and/or sentences is thus rated by these formulas as harder to read than a text with many short words and/or sentences would be. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     Output the generated story directly.      Caleb was lost on a quest. It seemed there was a great treasure somewhere inside the forest. When he was in a thick patch of trees, a light suddenly shone on him. The light revealed a treasure map on a note pinned to the branch. He quickly took off his backpack and read the note. The treasure was buried in the forest. Caleb had to trek through the forest. Suddenly, he stumbled on the path towards the treasure. But soon, the path became so busy with other people that he had to detour into a lane. When he was about to travel on the lane, a dark figure suddenly blocked his path. ""It's not possible, you can't go past me!"" he shouted. At that moment, the figure disappeared from the light. Caleb felt very suspicious of that dark figure. He decided to go on ahead. When he arrived at the path, he read the note on the treasure map. The map had two directions marked. The first direction was to a certain treasure. The second direction was to a place that had a light at the end of the road. Caleb decided to travel to the place marked by the light. He walked through the road and saw a house with a big garden at the end. ""What a great day!"" he said. As he was looking forward to enjoying the day more, he reached the house and saw a sign that read “Welcome!” Caleb smiled and said “Hello!” He took the door"
1,"Given this topic word: battles          Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale and observes the following specifications:     1. Meaning or purpose: The text can range from containing a single level of meaning to multiple levels of meaning based on complexity. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     2. Structure: A text with low complexity tends to have simple, well-marked, and conventional structures, whereas a text of high complexity tends to have complex, implicit, and unconventional structures. Simple texts tend to relate events in chronological order, while complex texts make more frequent use of flashbacks, flash-forwards, and other manipulations of time and sequence. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     3. Lengths: That text that has longer words and longer sentences are more difficult to read than shorter ones. A text with many long words and/or sentences is thus rated by these formulas as harder to read than a text with many short words and/or sentences would be. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     Output the generated story directly.      Mia was thinking about a couple of battles she had been involved in and how it felt as she was fighting in them. Her mind drifted off to the first one. It was when her brother was getting ready to go to college. He was leaving home and so Mia found herself thinking and planning about how to make her parents realise how important they were for him to leave. She had put a lot of effort into planning the whole thing and she wasn't going to let them down now. When it came time for the day to come, she got up, started getting ready for the day, and then walked up to her parents, with her head high. She saw her dad in his office and she went and sat down by him. She was surprised he was there and asked him what he was doing. He told her he was just thinking about her brother and what he had done for him. They both sat in the office and Mia found herself feeling angry. How dare he think of her brother that way. His comments and actions had made her feel bad about the situation. She told her dad how much she really appreciated everything he had done for her. Then her dad got up and went out to the garden to do some work. He came back after a while and Mia didn't want to leave and tell her brother goodbye and to meet her at the train station. But that's exactly what he wanted her to do. So he asked her to go, which she did. The train was"
1,"Given this topic word: myths          Generate a short story based on the theme of the topic word and make sure it is readable for grades 6 to 8 learners in the Common Core Standards scale and observes the following specifications:     1. Meaning or purpose: The text can range from containing a single level of meaning to multiple levels of meaning based on complexity. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     2. Structure: A text with low complexity tends to have simple, well-marked, and conventional structures, whereas a text of high complexity tends to have complex, implicit, and unconventional structures. Simple texts tend to relate events in chronological order, while complex texts make more frequent use of flashbacks, flash-forwards, and other manipulations of time and sequence. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     3. Lengths: That text that has longer words and longer sentences are more difficult to read than shorter ones. A text with many long words and/or sentences is thus rated by these formulas as harder to read than a text with many short words and/or sentences would be. Compared to grades 9-10, texts for grades 6-8 are less complex in this aspect.     Output the generated story directly.      The myths of the Greek gods had been a source of amusement for the people during their youth. When they grew old and tired of these myths they could read something more interesting like Homer's Iliad, or Sophocles' Phaedra or Aeschylus' Oresteia. But in those times there were people that had been born in that era, or even that year, who had not read any book. In that way the myths were a constant source of amusement. After all, they are not as interesting as the real events, but they always managed to be amusing. They were a constant source of interest to the human beings in the Greek and Roman empires, who always made sure that their subjects were aware of those myths. Even so, those myths lost popularity, for they weren’t as exciting as the real events in history. The only time the myths were popular was when the authors decided to give them a new spin. When people were bored of hearing about these events, the writers came up with a new spin in the form of a story, a play or a poem. That way the myths could continue to be entertaining. The writer was not writing about the events themselves but rather about the events surrounding them, so they needed to come up with some kind of plot, for without a plot there would be no meaning. After all, people would have no idea what story was to be told. The fact is that even the real events were not without"
