level,generated_story
A2,People make buildings. We need homes to stay warm and dry. We build places like stadiums to see football and concerts. We use places like museums for beautiful things. Many people help make a building. An architect decides how it looks and draws it. This shows people the ideas.
A2,"""No,"" Harry said. ""I can't go. I am your best man. Our town needs us."" Paul replied, ""Yes, you are the best man. But you must see, when we leave, the people here will stay. They have their stores. It's not just about volcanoes, it's about money too."" Harry smiled and said, ""Okay."""
A2,"""Be smart, don't just follow your heart!"" Bowen yelled. He was teaching Einon to fight well. But, Bowen wanted him to know about the Old Code too. This Code was important to Bowen, kings, and knights for many years. It said kings should be nice to people, and knights help kings."
A2,"Long ago, people did not farm. They looked for food in forests. They moved a lot. But, about 12,000 years ago, in the Middle East, they started to farm. They were the first farmers."
A2,"If you go north from Toronto for three hours, you find Lake Nipissing. It turns to ice in winter. Many people go there to ice-fish on weekends. They build small, colorful wooden houses on the ice. Inside, they sit and fish through holes in the ice."
A2,"A big man heard me and turned around. He saw me in the corn and walked over. I started yelling, ""His foot is going to squash me!"" The man stopped. He looked down at me for a bit. We often look at small animals and wonder, ""Will it hurt me?"""
A2,"Subject: Holiday Plans

Dear Team,

D Brown here. I'm planning our next year's holidays. I need to know your holiday dates. Please give me two options. Reply by this month's end. Thanks!"
A2,"David Reilly wrote his first book called ""The Long Night."" Before, he taught English. Maha is a nurse in a small northern Australia hospital. One day, a very sick baby needed to go to a big city hospital. Maha drove all night to help the baby."
A2,Big cats are many. They are big or small. They look different. Tigers are the biggest. They are long. They can be 3.7m. Most cats do not like water. But tigers do. They lie in water. It is cool. They like it when hot.
A2,"Marco was at Silvia's door. He saw Gabriel leave. He wondered why Silvia did not open the door. She was inside. Then, the door opened. ""Silvia dear,"" Marco said, ""you look wonderful..."" But he stopped. Silvia was not looking wonderful. Her face was red. She seemed unhappy."
A2,"""I always say, 'I am quite well.' Why do I say that? I never ask for help. Maybe because in some way, it is true. I am not hurting. 'It cannot be the strange sickness from the village,' I think. 'My sickness is three weeks old now.'""
"
A2,"Dear Lynne and Tony,

Thank you for the lovely stay at your house. It was nice to see you. I sent the photos of your kids you wanted. They look great! I hope you like them. My new camera is really good.

Best,
[Your Name]"
