level,generated_story
A2,"Given this story: Buildings People have always made buildings. We need houses to keep us warm and dry and we build stadiums so we can watch football matches and pop concerts. We use other buildings like museums to keep beautiful things in. Many people work together on a building. The architect decides how the building is going to look and draws pictures that show people his or her ideas. The architect decides what the building is going to look like and draws pictures that show people his or her ideas.  When people are planning and designing a building, they have to remember that there are a number of possible ways that the building can look, so they have to look at many pictures and decide which one of them is their favourite. If there were only two possible designs, the architect would only have to choose which design to use. But for every building there are a number of possible designs that people can imagine. The architect has to think of as many possibilities as possible, but also choose the design he thinks is best, the one that will best represent the building.  When people are trying to build a building, they have to think about the cost of the materials and the materials needed for building a particular part of the building. They also have to think about how much time people will need to build the building, as well as how much it is going to cost. If there are two possible designs for the same building, the architect might have to choose one of them, but if there are a number of designs, then he or she has to choose the one that is the cheapest. In the case of a building being built, the architect would also have to think about whether or not the building will last or if it will need to be refurbished. The cost of refurbishment would depend on whether the building was a new build or if it was refurbished,.

Rewrite the story and make sure it is readable for A2 learners in the CEFR scale. Use the following specifications to reach the target level of the story:
  
1. The Automated Readability Index score of the story is 37.938 while the target score should be close to 7.108. Decrease the complexity by aiming for lower Automated Readability Index score. 
3. The total number of words of the story is 125 while the target score should be close to 60.875. Decrease the complexity by aiming for lower total number of words. 
6. The total number of conjunctions of the story is 18 while the target score should be close to 5.172. Decrease the complexity by aiming for lower total number of conjunctions. 
7. The average word familiarity score of the story is 114.029 while the target score should be close to 51.47. Decrease the complexity by aiming for lower average word familiarity score. 

Output the generated story directly. People always make buildings. We need houses to keep us warm and dry and we build stadiums so we can watch football matches and pop concerts. We use other buildings like museums to keep beautiful things in. Many people work together on a building. The architect decides how the building is going to look and draws pictures that show people his or her ideas. The architect decides what the building is going to look like and draws pictures that show people his or her ideas.  When people are planning and designing a building, they have to remember that there are a number of possible ways that the building can look, so they have to look at many pictures and decide which one of them is their favourite. If there were only two possible designs, the architect would only have to choose which design to use. But for every building there are a number of possible designs that people can imagine. The architect has to think of as many possibilities as possible, but also choose the design he thinks is best, the one that will best represent the building.  When people are trying to build a building, they have to think about the cost of the materials and the materials needed for building a particular part of the building. They also have to think about how much time people will need to build the building, as well as how much it is going to cost. If there are two possible designs for the same building, the architect might have to choose one of them, but if there are a number of designs, then he or she has"
A2,"Given this story: 'No' said Harry. 'I won't go. I'm your best man and this town has problems.' 'Yes' said Paul 'you are my best man. But you must understand something. After we go the people here in Dante's Peak will stay. They have their shops and their businesses. You think only about volcanoes but this is about money too.' 'OK' Harry said with a smile. 'Now' said Paul 'you will understand why I ask you to go to Italy. If you go here with me, I would have to work double hard all week. I will be here the whole time and we would both lose time. And I don't know when I will be back.' 'When will you be back?' 'It's hard to say. But by late July or early August I should be back. I am going to Italy for five days. And I will return on August 1. That's my anniversary.' 'Well' said Harry 'it's an anniversary but I'll be back by August 7.' So they decided that they would both go to Italy and have a great time. Now it's your turn to plan your wedding.   You can do it easily. This will be a great story to tell your guests.  You will have a great story to tell your guests, because you won't have a story about your first kiss, you will have a story about your wedding day. Have fun! Refine this document by eliminating all grammatical, lexical, and orthographic errors and improving its writing style.'No' said Harry. 'I won't go. I'm your best man and this town has problems.' 'Yes' said Paul. 'You are my best man. But you must understand something. After we go the people here in Dante's Peak will stay. They have their shops and their businesses..

Rewrite the story and make sure it is readable for A2 learners in the CEFR scale. Use the following specifications to reach the target level of the story:
  
1. The Automated Readability Index score of the story is 30.099 while the target score should be close to 7.108. Decrease the complexity by aiming for lower Automated Readability Index score. 
4. The total number of sentences of the story is 35 while the target score should be close to 11.531. Decrease the complexity by aiming for lower total number of sentences. 

Output the generated story directly. 'No' said Harry. 'I won't go. I'm your best man and this town has problems.' 'Yes' said Paul 'you are my best man. But you must understand something. After we go the people here in Dante's Peak will stay. They have their shops and their businesses. You think only about volcanoes but this is about money too.' 'OK' said Harry. 'Now you will understand why I ask you to go to Italy. If I go here with you, I would have to work double hard all week. I will be here the whole time and we will both lose time. And I don't know when I will be back.' 'When will you be back?' asked Paul. 'It's hard to say. But by late July or early August I should be back. I am going to Italy for five days. And I will return on August 1. That's my anniversary.' 'Well' said Harry 'it's an anniversary, but I'll be back by August 7.' So they decided that they would both go to Italy and have a great time. Now it's your turn to plan your wedding.  You can do it easily. This will be a great story to tell your guests.  You will have a great story to tell your guests, because you won't have a story about your first kiss, you will have a story about your wedding day. Have fun!      Refine this document by eliminating"
A2,"Given this story: Careful! Fight with your head don't fight with your heart boy!' shouted Bowen. The knight wanted to make Einon a good fighter. But he also wanted to teach him the Old Code. Sir Bowen and all the kings princes and knights before him were Knights of the Old Code. For thousands of years kings were kind to peasants and knights helped kings. 'What a shame! We shouldn't be like this!' muttered Einon. But he didn't want to let the Knight of the Holy Spear have his way. He knew it was bad for everyone to have fights but Einon had to fight for his family's honour. 'What I want is fair and just!' said Bowen angrily. But Einon only smiled sadly and went to bed. The next morning Bowen was late for breakfast. 'Where are my shoes?' he shouted in his anger. It turned out that he'd left his fancy shoes in his room. Later in the afternoon, the knights all came to their training camp. Bowen was furious and tried to hit one of the Knights with a greatsword. However, the Knight of the Holy Spear was stronger than Bowen and just dodged the blow. 'We'd better learn to fight,' whispered Bowen to Einon. Einon smiled in a friendly way. In the evening, the Knights held a big celebration. They played music and ate very delicious dishes. After the feast they played a game of darts. Bowen didn't want to play but he was forced to join in. Bowen played a great game! He made a dart pass from one knight to another and then hit the dart. But no one had a good throw and the game ended in a tie. 'I'll teach you all a lesson,' Bowen shouted after the game. Bowen went to a room.

Rewrite the story and make sure it is readable for A2 learners in the CEFR scale. Use the following specifications to reach the target level of the story:
  
1. The Automated Readability Index score of the story is 21.124 while the target score should be close to 7.108. Decrease the complexity by aiming for lower Automated Readability Index score. 
3. The total number of words of the story is 142 while the target score should be close to 60.875. Decrease the complexity by aiming for lower total number of words. 
4. The total number of sentences of the story is 34 while the target score should be close to 11.531. Decrease the complexity by aiming for lower total number of sentences. 

Output the generated story directly. The day before yesterday, an old knight was in the village, looking for a good fighter. Careful! Fight with your head don't fight with your heart boy! shouted Bowen. The knight wanted to make Einon a good fighter. But he also wanted to teach him the Old Code. Sir Bowen and all the kings' princes and knights before him were Knights of the Old Code. For thousands of years, kings were kind to peasants and knights helped kings. 'What a shame! We shouldn't be like this!' muttered Einon. But he didn't want to let the Knight of the Holy Spear have his way. He knew it was bad for everyone to have fights. But Einon had to fight for his family's honour. 'What I want is fair and just!' shouted Bowen angrily. But Einon only smiled sadly and went to bed. The next morning, Bowen was late for breakfast. 'Where are my shoes?' he shouted in his anger. It turned out that he'd left his fancy shoes in his room. Later in the afternoon, the knights all came to their training camp. Bowen was furious and tried to hit one of the Knights with a greatsword. However, the Knight of the Holy Spear was stronger than Bowen and just dodged the blow. 'We'd better learn to fight,' whispered Bowen to Einon. Einon smiled in a friendly way. In the evening, the Knights held a big celebration. They played music and"
A2,"Given this story: The History of Farming Before people started farming they went to the forest to look for plants or fruit they could eat. This meant that people were moving all the time to find food. But about 12000 years ago in the Middle East people began to grow food. These people were the first farmers. As the first farmers, people were looking for plants to eat. This meant that people were moving all the time, looking for food. But about 12,000 years ago in the Middle East, people began to grow food. These people were the first farmers.  One day a man noticed a plant which looked interesting. He picked it and he tasted it and liked it. After this he picked more of them, he put them in a pot and he began to eat them and when he had enough he brought them to market.  Another day he picked a nice looking plant, the next day he picked it too and after tasting it and liking it, he started to eat them. After he had eaten enough he brought them to market.  After the same happened again and again he decided to plant them and he started to do so.  One day he went to the market and he began to sell them. And the next day he went to the market and he began to sell them. After that happened again and again, he decided to plant them.  The people who lived then were interested in this plant because they could eat it.  In many villages people from each village worked together to plant these plants. They grew together and when they had enough they sold the fruit and they traded with each other so that they could buy things they wanted, like clothes and food.  After that happened again and again they decided to plant them and.

Rewrite the story and make sure it is readable for A2 learners in the CEFR scale. Use the following specifications to reach the target level of the story:
  
1. The Automated Readability Index score of the story is 29.324 while the target score should be close to 7.108. Decrease the complexity by aiming for lower Automated Readability Index score. 
3. The total number of words of the story is 127 while the target score should be close to 60.875. Decrease the complexity by aiming for lower total number of words. 
4. The total number of sentences of the story is 21 while the target score should be close to 11.531. Decrease the complexity by aiming for lower total number of sentences. 

Output the generated story directly. The History of Farming Before people started farming, they went to the forest to look for plants or fruit they could eat. This meant that people were moving all the time to find food. But about 12000 years ago in the Middle East, people began to grow food. These people were the first farmers. As the first farmers, people were looking for plants to eat. This meant that people were moving all the time, looking for food. But about 12000 years ago in the Middle East, people began to grow food. These people were the first farmers. One day a man noticed a plant which looked interesting. He picked it and he tasted it and liked it. After that he picked more of them, he put them in a pot and he began to eat them and when he had enough he brought them to market.  Another day he picked a nice-looking plant, the next day he picked it too and after tasting it and liking it, he started to eat them. After he had eaten enough, he brought them to market.  After the same happened again and again, he decided to plant them and he started to do so.  One day he went to the market and he began to sell them. And the next day he went to the market and he began to sell them. After that happened again and again, he decided to plant them.  The people who lived then were interested in this plant because they could eat it. In many villages, people from each village worked"
A2,"Given this story: ICE-FISHING If you drive north from Toronto for three hours you come to Lake Nipissing. In winter the lake becomes ice and thousands of Canadian fishermen travel there each weekend. They build little houses of wood on the ice and paint them in bright colours. Then they sit inside to catch the fish that swim under the ice. What's It Like?      ""How's it goin'?"" a young man asks. I look over at the group he's with. They're laughing, sharing a joke that doesn't seem to include him.      ""I'm just lookin' at you for a second,"" he says.      ""Are you the fisherman that lives in that house out back?"" he asks.      ""Yeah, that's me.""      He smiles. We shake hands.      ""It's a good job you do,"" he says.      A Canadian fishermen sits in his house out back on Lake Nipissing during the winter. He builds a little house on the ice, paints the wood in bright colours, and sits inside to catch the fish under the ice.      (Photo by: Mike Segar/Reuters)      ""Every year when the ice melts, I move the house to the center of the lake. Sometimes I'll get fish all the way over to the middle of the lake.     ""This year I'm gonna do it,"" he says. ""My goal is to get to the middle of the lake.""      He laughs as he says it. I know he's joking.      ""It's just hard to do sometimes,"" he.

Rewrite the story and make sure it is readable for A2 learners in the CEFR scale. Use the following specifications to reach the target level of the story:
  
1. The Automated Readability Index score of the story is 21.789 while the target score should be close to 7.108. Decrease the complexity by aiming for lower Automated Readability Index score. 
4. The total number of sentences of the story is 26 while the target score should be close to 11.531. Decrease the complexity by aiming for lower total number of sentences. 

Output the generated story directly. The fisherman lives in the middle of the lake.
There's a group of fishermen sitting on the ice around a big house.
He says he goes out with a hammer and picks up each of the houses.
Each house has a little window.
He sits on a bench next to the house.
He catches fish under the ice.
His house is surrounded by ice.
His house is painted a lot of colours.
If he gets a lot of fish, he moves the house to the middle of the lake.
He tries to catch fish all the way to the middle of the lake.
His goal is to go all the way to the middle of the lake.
He always catches fish under the ice.
He likes to sit with his wife on a bench outside their house.
They always see a lot of fish under the ice.
It's a good job that he does.
It's a good job that he makes a lot of fish.
He always goes over to the middle of the lake.
If the fish were a little less cold, 
they would eat the bait.
He always gets a lot of fish when the ice melts.
He always comes to the middle of the lake.
It's a hard thing to do.
It's just hard sometimes.
It's a good job that he does.
It's a good job that he's popular.
If he'd just go to the middle"
A2,"Given this story: A man heard me and looked round. Then this big man saw me in the corn. He walked to me and I began to shout loudly:'His foot is going to kill me!'The man stopped. For a minute he looked down at me carefully. (We look at a small animal in the same way and think: 'Will it hurt me? A man heard me and looked round. Then this big man saw me in the corn. He walked to me and I began to shout loudly:'His foot is going to kill me!'The man stopped. For a minute he looked down at me carefully. (We look at a small animal in the same way and think: 'Will it hurt me?  ). Then the big man's foot went over my head. His foot knocked me unconscious and then he put me in a barrel.  At night, I woke up. There was some light. All around me there was water, and there was a stream. It was the most beautiful place I had ever seen. A man walked towards me and asked me what I was doing in his forest. I told him I was in search of food. He said it was very strange for a man to come searching for food in his forest. I explained that I had only travelled a short way from my house, but that I was hungry, so he was quite surprised. (He had seen me walking around in the evening, so he suspected something). The man said to me: 'We humans are good at hiding our hunger. Maybe you should search for food in other places. I am happy for your curiosity'. (He probably really wants to get rid of me). He said to me again: 'We humans are good at hiding our hunger. Maybe you should search for food in other places'. (He probably really.

Rewrite the story and make sure it is readable for A2 learners in the CEFR scale. Use the following specifications to reach the target level of the story:
  
1. The Automated Readability Index score of the story is 25.033 while the target score should be close to 7.108. Decrease the complexity by aiming for lower Automated Readability Index score. 
3. The total number of words of the story is 123 while the target score should be close to 60.875. Decrease the complexity by aiming for lower total number of words. 
4. The total number of sentences of the story is 28 while the target score should be close to 11.531. Decrease the complexity by aiming for lower total number of sentences. 

Output the generated story directly. A man heard me and looked around. Then this big man saw me in the corn. He walked to me and I began to shout loudly: 'His foot is going to kill me! 
The man stopped. For a minute he looked down at me carefully. (We look at a small animal in the same way and think: 'Will it hurt me?  ). Then the big man's foot went over my head. His foot knocked me unconscious and then he put me in a barrel.  At night, I woke up. There was some light. All around me there was water, and there was a stream. It was the most beautiful place I had ever seen. A man walked towards me and asked me what I was doing in his forest. I told him I was searching for food. He said it was very strange for a man to come searching for food in his forest. I explained that I had only travelled a short way from my house, but that I was hungry, so he was quite surprised. (He had seen me walking around in the evening, so he suspected something). The man said to me: 'We humans are good at hiding our hunger. Maybe you should search for food in other places. I am happy for your curiosity'. (He probably really wants to get rid of me). He said to me again: 'We humans are good at hiding our hunger. Maybe you should search for food in other places'. (He probably really does).
"
A2,"Given this story: Memo To: All staff Subject: Holidays From: D Brown Date: 22.2.02 I am planning the holidays for next year. Please tell me when you would like to take your holiday. If possible could you give me two dates? Please give me your answer by the end of the month. Thank you. Dear Ms Brown, I am planning the holidays for next year. Please tell me when you would like to take your holiday. If possible could you give me two dates? Please give me your answer by the end of the month. Thank you. Mr Jones will be taking holiday in April. Mr Jones will be taking holiday in May. Mr Jones will be taking holiday in June. Mr Jones will be taking holiday in July. Mr Jones will be taking holiday in August. Mr Jones will be taking holiday in September. Mr Jones will be taking holiday in October. Mr Jones will be taking holiday in November. Mr Jones will be taking holiday in December. Mr Jones will be taking holiday in January. Mr Jones will be taking holiday in February. Mr Jones will be taking holiday in March. Mr Jones will be taking holiday in April. Mr Jones will be taking holiday in May. Mr Jones will be taking holiday in June. Mr Jones will be taking holiday in July. Mr Jones will be taking holiday in August. Mr Jones will be taking holiday in September. Mr Jones will be taking holiday in October. Mr Jones will be taking holiday in November. Mr Jones will be taking holiday in December. Mr Jones will be taking holiday in January. Mr Jones will be taking holiday in February. Mr Jones will be taking holiday in March. Mr Jones will be taking holiday in April..

Rewrite the story and make sure it is readable for A2 learners in the CEFR scale. Use the following specifications to reach the target level of the story:
  
1. The Automated Readability Index score of the story is 17.494 while the target score should be close to 7.108. Decrease the complexity by aiming for lower Automated Readability Index score. 
2. The type token ratio of the story is 3.375 while the target score should be close to 7.831. Increase the complexity by aiming for higher type token ratio. 
3. The total number of words of the story is 158 while the target score should be close to 60.875. Decrease the complexity by aiming for lower total number of words. 
4. The total number of sentences of the story is 35 while the target score should be close to 11.531. Decrease the complexity by aiming for lower total number of sentences. 

Output the generated story directly. Mr Jones will be taking holiday in April.
Mr Jones will be taking holiday in May.
Mr Jones will be taking holiday in June.
Mr Jones will be taking holiday in July.
Mr Jones will be taking holiday in August.
Mr Jones will be taking holiday in September.
Mr Jones will be taking holiday in October.
Mr Jones will be taking holiday in September.
Mr Jones will be taking holiday in October.
Mr Jones will be taking holiday in September.
Mr Jones will be taking holiday in October.
Mr Jones will be taking holiday in September.
Mr Jones will be taking holiday in October.
Mr Jones will be taking holiday in September.
Mr Jones will be taking holiday in October.
Mr Jones will be taking holiday in September.
Mr Jones will be taking holiday in October.
Mr Jones will be taking holiday in September.
Mr Jones will be taking holiday in October.
Mr Jones will be taking holiday in September.
Mr Jones will be taking holiday in October.
Mr Jones will be taking holiday in September.
Mr Jones will be taking holiday in October.
Mr Jones will be taking holiday in September.
Mr Jones will be taking holiday in October.
Mr Jones will be taking holiday in September.
Mr Jones will be taking holiday in October.
Mr Jones will be taking holiday in September.
Mr Jones will be taking holiday in October.
Mr Jones will be taking holiday in September.
"
A2,"Given this story: New books this month The Long Night This is David Reilly's first book. David became a writer after teaching English for several years. Maha is a nurse in northern Australia where she works in a small hospital. One day a baby is so ill that Maha has to drive all night to get her to the nearest big city. Maha knows that even if she takes the right decisions she can't save all her patients. David Reilly won the Governor General's Literary Award for The Long Night in 2001, and he was a winner of the Commonwealth Writers' Award in 2000. He has written several novels, short stories, poetry, and has translated from French and Spanish. Maha is the title story of his new book. Maha is a nurse in northern Australia where she works in a small hospital. One day a baby is so ill that Maha has to drive all night to get her to the nearest big city. David Reilly was born and grew up in Dublin, Ireland. He graduated with a BA in English, followed by a PhD in English Language and Linguistics from the University of California, Berkeley. David teaches English at the University of Melbourne and is a member of the Australian Society for Writers and Writing.  This is a new book from David Reilly. David won the Governor General's Literary Award for The Long Night in 2001, and he was a winner of the Commonwealth Writers' Award in 2000. He has written several novels, short stories, poetry, and has translated from French and Spanish. Maha is the title story of his new book. Maha is a nurse in northern Australia where she works in a small hospital. One day a baby is so ill that Maha has to drive all night to get her to the nearest big city.  Maha knows that even if she takes.

Rewrite the story and make sure it is readable for A2 learners in the CEFR scale. Use the following specifications to reach the target level of the story:
  
1. The Automated Readability Index score of the story is 21.783 while the target score should be close to 7.108. Decrease the complexity by aiming for lower Automated Readability Index score. 
3. The total number of words of the story is 159 while the target score should be close to 60.875. Decrease the complexity by aiming for lower total number of words. 
4. The total number of sentences of the story is 21 while the target score should be close to 11.531. Decrease the complexity by aiming for lower total number of sentences. 
8. The average number of entities of the story is 2.667 while the target score should be close to 0.921. Decrease the complexity by aiming for lower average number of entities. 

Output the generated story directly. Maha is a nurse in northern Australia where she works in a small hospital. One day, a baby is so ill that Maha has to drive all night to get her to the nearest big city. Maha knows that even if she takes the right decisions, she can't save all her patients.
David Reilly won the Governor General's Literary Award for The Long Night in 2001, and he was a winner of the Commonwealth Writers' Award in 2000. He has written several novels, short stories, poetry, and has translated from French and Spanish. Maha is the title story of his new book. Maha is a nurse in northern Australia where she works in a small hospital. One day, a baby is so ill that Maha has to drive all night to get her to the nearest big city. Maha knows that even if she takes the right decisions, she can't save all her patients. David Reilly was born and grew up in Dublin, Ireland. He graduated with a BA in English, followed by a PhD in English Language and Linguistics from the University of California, Berkeley. David teaches English at the University of Melbourne and is a member of the Australian Society for Writers and Writing.  This is a new book from David Reilly. David won the Governor General's Literary Award for The Long Night in 2001, and he was a winner of the Commonwealth Writers' Award in 2000. He has written several novels, short stories, poetry, and has translated from French and Spanish"
A2,"Given this story: Big cats There are many different kinds of cats. They are different in size and they do not look or act the same. Tigers are the biggest cats. From head to tail they can be 3.7m long. Most cats don't like water but tigers will often lie in a pool of water when it is hot! The world's biggest cats  The African lion (Panthera leo) can be as big as 7.2m long with the head and body at around 3.5m. The tail is about the same size but can weigh up to 2.5m.  The Asian lion (Panthera leo javanica) is the smallest of these, around 2.6m, and the biggest cats without any horns. This is a small population of lions and it is not protected by the law. The Asian lion is a different type of lion from the African lion. There are also the snow leopard (Panthera caerulescens), tiger (Panthera tigris) and Indian tiger (Panthera tigris occidentalis). The total size of all tigers is not known exactly, but they are very big animals, because they can weigh between 1.5-1.8 tonnes.  The largest of these can weigh up to a tonne, while a tiger can weigh up to 1.8 tonnes. The great lion (Panthera leo trionyx) is a relative of the lion and is also really big. It has a tail that can weigh around 1.2 tonnes and a body around 2.3m long.  There are also the cheetah (Achilloryx petraea), jaguar (Puma concolor.

Rewrite the story and make sure it is readable for A2 learners in the CEFR scale. Use the following specifications to reach the target level of the story:
  
1. The Automated Readability Index score of the story is 21.295 while the target score should be close to 7.108. Decrease the complexity by aiming for lower Automated Readability Index score. 
3. The total number of words of the story is 124 while the target score should be close to 60.875. Decrease the complexity by aiming for lower total number of words. 

Output the generated story directly. A tiger was seen in the forest near the village. 
There are many different kinds of cats. They are all different in size and they do not look or act the same. Tigers are the biggest cats. From head to tail, they can be 3.7m long. Most cats don't like water, but tigers will often lie in a pool of water when it is hot! The world's biggest cats  The African lion (Panthera leo) can be as big as 7.2m long with the head and body at around 3.5m. The tail is about the same size but can weigh up to 2.5m.  The Asian lion (Panthera leo javanica) is the smallest of these, around 2.6m, and the biggest cats without any horns. This is a small population of lions and it is not protected by the law. The Asian lion is a different type of lion from the African lion. There are also the snow leopard (Panthera caerulescens), tiger (Panthera tigris) and Indian tiger (Panthera tigris occidentalis). The total size of all tigers is not known exactly, but they are very big animals, because they can weigh between 1.5-1.8 tonnes.  The largest of these can weigh up to a tonne, while a tiger can weigh up to 1.8 tonnes."
A2,"Given this story: Marco stood at the door of Silvia's flat and watched Gabriel leaving. He looked carefully at his clothes and his shoes. Why didn't Silvia open the door? She was in there. Then suddenly it opened. 'Silvia dear' Marco said 'you look wonderful...' He stopped. Silvia didn't look wonderful. Her face was red and she looked unhappy. Silvia looked back at him. “I’ve tried everything Marco. It was a complete waste of time. I gave it my best shot!” Marco felt his cheeks heat. His best shot would have been...? Silvia smiled. “Don’t worry honey. There are more ways to get your girlfriend than to spy on her. I’ll go downstairs and call the police.”  They sat on the sofa and Marco told Silvia about his problems. She listened quietly. Her face was warm with love. Then she said “I think you’re right. There are other ways. I’ve been thinking and the solution seems so obvious.” Marco laughed. That wasn’t the answer he’d been waiting for but he couldn’t help it. “Tell me about it.” she asked.  “One of the problems is that I don’t like the idea of doing anything with my girlfriend that someone else could see. That makes it feel very intimate. You know the rule Marco. Anything that isn’t a secret between us is a secret between us.”  Silvia got up and walked over to the television set. Marco noticed that the door was open. He walked over to the TV set and watched as she switched on the television and started watching a TV program. They were very quiet as she.

Rewrite the story and make sure it is readable for A2 learners in the CEFR scale. Use the following specifications to reach the target level of the story:
  
1. The Automated Readability Index score of the story is 26.466 while the target score should be close to 7.108. Decrease the complexity by aiming for lower Automated Readability Index score. 
4. The total number of sentences of the story is 37 while the target score should be close to 11.531. Decrease the complexity by aiming for lower total number of sentences. 

Output the generated story directly. Marco stood at the door of Silvia's flat and watched Gabriel leaving. He looked carefully at his clothes and his shoes. Why didn't Silvia open the door? She was inside. Then suddenly it opened. 'Silvia dear' Marco said to her 'you look wonderful...' He stopped. Silvia didn't look wonderful. Her face was red and she looked unhappy. Silvia looked back at him. “I’ve tried everything Silvia. It was a complete waste of time. I gave it my best shot!” Marco felt his cheeks heat. His best shot would have been...? Silvia smiled. “Don’t worry honey. There are more ways to get your girlfriend than to spy on her. I’ll go downstairs and call the police.”  They sat on the sofa and Marco told Silvia about his problems. She listened quietly. Her face was warm with love. Then she said “I think you’re right. There are other ways. I’ve been thinking about it and the solution seems so obvious.” Marco laughed. That wasn’t the answer he’d been waiting for but he couldn’t help it. “Tell me about it.” she asked.  “One of the problems is that I don’t like the idea of doing anything with my girlfriend that someone else could see. That makes it feel very intimate."
