level,generated_story
A2,"Buildings People have always made buildings. We need houses to keep us warm and dry and we build stadiums so we can watch football matches and pop concerts. We use other buildings like museums to keep beautiful things in. Many people work together on a building. The architect decides how the building is going to look and draws pictures that show people his or her ideas. They also check that the plans are approved. There are many people that work on each one of the buildings. Sometimes, the people decide to change the plan or if the structure is too old. But, most of the time they agree on what to do. They choose the best method to change it because it depends on the type of the building. Sometimes, a new structure is built. Usually, the people who have worked on the structure for a long time make sure that it will last for a long time. For example, the people who have designed the stadium will make sure that it will keep playing football for a long time. The people who have worked on the museum won’t change it for a long time but they make sure that it is full of beautiful things so people will visit it often. I decided to write about buildings because I think they are very important to us. You should know how important they are because we need them. The houses make us feel happy. For example, if you have a beautiful house, you won’t want to go out for a long time. And you will be happy because you have a beautiful house and it will make you happy to stay at home. I think everyone has a beautiful house. Sometimes, I wish I had a beautiful house. I think it would be much nicer to live in a beautiful house than in a cheap one.   I hope that the people who work on buildings can make the best decision. I hope"
A2,"'No' said Harry. 'I won't go. I'm your best man and this town has problems.' 'Yes' said Paul 'you are my best man. But you must understand something. After we go the people here in Dante's Peak will stay. They have their shops and their businesses. You think only about volcanoes but this is about money too.' 'OK' Harry said with a smile. He had made Paul his best man and together they were the best men in the world. The wedding day was the best day of their lives and they had been planning this day for three years. There was a wedding party that had been invited by the mayor, and there were many people in this town, but only a few would be able to attend the wedding. They were the richest men in Dante's Peak and they had planned their wedding for two years so that the mayor of Dante's Peak would have an excuse to invite so many people. There were no other wedding ceremonies in the town, there had never been any. The first thing the mayor had said when he was informed of their relationship was 'I think you two are great and I think you have a very good future. But it will be great if you can stay in this town until we have an earthquake.' They were going to have an earthquake, and they needed to stay here. But their first duty was to prepare the town for the earthquake, and so they began with the construction of the dam. 'I know who made the dam and I know who will pay the consequences,' said the mayor. They would be the ones who would suffer from the earthquake. But the mayor was going to tell them the truth. 'After the earthquake the mayor will be killed,' he said. The two richest men in Dante's Peak had decided to build the dam to protect the town. It was not safe to build in the earthquake and so"
A2,"Careful! Fight with your head don't fight with your heart boy!' shouted Bowen. The knight wanted to make Einon a good fighter. But he also wanted to teach him the Old Code. Sir Bowen and all the kings princes and knights before him were Knights of the Old Code. For thousands of years kings were kind to peasants and knights helped kings. But a thousand years ago peasants began to fight. And the old code was broken. The peasants would not let their king go by himself. And they began to fight to the last man. And no one was more vicious than the peasants. The knights also began to fight to the last man. And many a time knights died. Some were killed in the battle. Some died from hunger. But one knight was killed by the peasants. He had fought them for thousands of years. And he was not afraid of death. The peasants would not stop fighting. One day a peasant looked at his weapon and said. 'This weapon is too slow to kill! It needs at least two men to kill one man.' And he threw down his weapon and told his fellow peasants. 'We will go and kill the knights.' And he told them how to pick up a club. They dug a trench around the king. And they buried the king in the trench. Then they went to the battle. They found a knight. He was dead, his sword was cut off at the hilt. The peasants looked around and saw the remaining knights. They were laughing. They were so cruel. The peasants thought that they would get revenge. They gathered all their weapons and attacked the knights. They fell to the peasants' weapons. But when they were all dead, the peasants left. 'We have killed the last man,' said the peasant. But the peasants went to the king. And they told the king about"
A2,The History of Farming Before people started farming they went to the forest to look for plants or fruit they could eat. This meant that people were moving all the time to find food. But about 12000 years ago in the Middle East people began to grow food. These people were the first farmers. They knew how to make the soil fertile and they knew how to prepare the ground for the crops. They lived in houses so that they didn’t have to move their food. These people have been farming for more than 13000 years. You can read more about this history at the history of farming. But that’s only part of it. The second part of the history of farming is how people started using animals. People had to gather food in the middle of the day so that they could go to work at night. This is why the second part of the history of farming is important. To keep working all day they had to gather food in the morning and then go to work. The people used animals because they were too old to carry food back and forth. These animals were able to travel and make it to work when the sun was up. After the animals came men. They were always in the middle of the day so they could gather food. They lived on the animals so they could collect enough food to have food for the people that were working all day. The people lived in houses because this way they didn’t have to worry about getting food. This is the story of farming. It was all about gathering food and having a good life. There’s also an episode on this show called “Taste the Future” that you can watch. It tells the story of how food is made today. I can’t tell you much
A2,"ICE-FISHING If you drive north from Toronto for three hours you come to Lake Nipissing. In winter the lake becomes ice and thousands of Canadian fishermen travel there each weekend. They build little houses of wood on the ice and paint them in bright colours. Then they sit inside to catch the fish that swim under the ice. This is an art that is practiced each year by hundreds of people. The fishing is for Atlantic salmon, halibut, cod, walleye, northern pike and trout. Some fish are caught when the ice is open and can be sold on the market. If you have not visited the lake in winter, you will have an idea about what I am talking about when I say the people there do not waste their time with ""ice fishing"". They know what kind of fish swim under the ice. I had an opportunity to visit the Lake Nipissing in November 2001 when the weather was good and the Canadian ice fishing season was starting. There were not many people on the ice but it was still fun to walk on the ice or to sit on the ice beside the people who have been fishing all their lives. The men in the ice house were very patient when their fish were caught. They would stand on the ice and stare at the fish they had caught with a big smile on their faces. They would keep telling them it would take a little while to cut it up because the fish were so big. When they were about to cut the fish into bits they would look at them with surprise and then say ""We must wait for the ice to open"", because once it was open the fish would come to the surface of the water. They would be able to walk on the ice and see the other anglers who had spent time there for years. It is really a joy to"
A2,"A man heard me and looked round. Then this big man saw me in the corn. He walked to me and I began to shout loudly:'His foot is going to kill me!'The man stopped. For a minute he looked down at me carefully. (We look at a small animal in the same way and think: 'Will it hurt me? ') He looked at me and then left. I was on the floor, covered with corn. (The man walks in a field and is thinking to himself: 'How is that possible... ) I was a little hurt. 

You are given a short text as a title. Your task is to generate a poem as output that is related to the given title and should feel like written by kids. The output should be a run-on sentence (two or more complete sentences connected without any punctuation). The poem should not be too long or too complex, because it should feel like it is written by younger person without high level of literature education.A farmer went out early in the morning. He saw a bird sitting on a branch of a tree. It was really scared. The farmer thought: ""Oh, that is a bird. If that bird is really scared then he/she is not gonna come down from there. If it is afraid then it is not gonna eat the corn."" After that a man saw that bird sitting on that tree. The man asked the bird: ""Why are you standing there alone?"" The bird said: ""Because you don't care. The world is a terrible place to live, but at least I have a shelter and food."" The man thought: ""That is a very strong bird. I have a shelter and food as well but I am not as strong."" But then the farmer thought to himself: ""If I am not as"
A2,"Memo To: All staff Subject: Holidays From: D Brown Date: 22.2.02 I am planning the holidays for next year. Please tell me when you would like to take your holiday. If possible could you give me two dates? Please give me your answer by the end of the month. Thank you. D Brown, Director (Tel: 0871 876 9600 - Mobile: +44 (0)7776 647 454)

A:

I did this every year between 2005 and 2008. You only get the whole month in any given year, so don't try to get a multi-week period for the same period of time. When it came to the summer, I just picked a date for the whole month and booked time around that.I never did this personally, so don't take my word for it, but I know that Holidays for me were organised by my manager, who was always up to date on things. She would always write the dates and times down and would let us know who was in charge of the holidays, and then make the necessary arrangements. 
I don't think there's anything wrong with using a standard 'Holiday Calendar' on your desk, if that's all you've got. It doesn't have to be fancy or anything, just a couple of pages showing the dates and times. You can use different calendars depending on how many weeks you want for the holidays you want, but I'm afraid there are no apps or sites out there that will do this for you (unless you're really, really clever).
Personally I find this easier than having to plan the holidays myself! I could always use some help though, and that's why I've put my email in the question. If you do decide to"
A2,"New books this month The Long Night This is David Reilly's first book. David became a writer after teaching English for several years. Maha is a nurse in northern Australia where she works in a small hospital. One day a baby is so ill that Maha has to drive all night to get her to the nearest big city. I read The Long Night first and it is a wonderful book about a couple of months spent working in an Australian hospital. The book is very well written and I would definitely recommend it to anybody who wants to know about the Australian healthcare system. There is a bit too much English in this book, for sure. I guess that is because the book is written by a professional. Maha and her patient should have been able to understand each other in Australian. But the author also talks a bit too much in his English that it is quite hard to follow. But if you already know a lot about Australian healthcare, it is a very good book to have. From the very beginning, the book takes you on a trip into the Australian health system. We start by looking at the hospital staff, and what they do day-in and day-out. We learn more about the hospital through their daily routines, and we see how people deal with patients who are dying and dying. I think that is the most impressive part of the book. The hospital is full of nurses, who talk about the patients that they will see in the morning, or who will receive a new baby, or who will receive a dying man. That is so interesting. It is quite a strange sight to see a baby, or an old man with a cancer, and how they deal with that. You learn so much from just that few hours. From the hospital, it is a quick drive to the beach where the doctor works"
A2,"Big cats There are many different kinds of cats. They are different in size and they do not look or act the same. Tigers are the biggest cats. From head to tail they can be 3.7m long. Most cats don't like water but tigers will often lie in a pool of water when it is hot!

Kittens In a year there are more than 500,000 new kitten born in the world. These kittens can live for only 6 months. But there are big kittens which are 14, 15 or 16 weeks of age and they can live until they are 5 years old.

Domestic Animals These animals are kept as pets and they have a very different relationship to humans. They are social and love humans. They have an almost human like body, but they have no ears. Most domestic cats have six legs. They are smaller than tigers. They usually have a white coat with black spots. They don't like water.

Elephants Elephants are the tallest creatures in the world. They are 4.5m long and weigh 60,000kg. Elephants are not very friendly animals. They don't like humans and they don't like to be touched. The elephants that lived thousands of years ago lived near water. Most of the elephants are found in Africa.

Giants Giants are 4m to 6m long. They are found in Australia. Giants often look like lions, tigers and other large cats. They have a very large head and chest. They never live as pets but they can live until they are 50 years old.

Crocodiles Crocodiles are the biggest animals in the world. They are over 6m long. They live on the coast in the sea and can swim very quickly. They love to swim and"
A2,"Marco stood at the door of Silvia's flat and watched Gabriel leaving. He looked carefully at his clothes and his shoes. Why didn't Silvia open the door? She was in there. Then suddenly it opened. 'Silvia dear' Marco said 'you look wonderful...' He stopped. Silvia didn't look wonderful. Her face was red and she looked unhappy. 'Are you sure you've come home from work? You must have fallen asleep on the way. I must go home now. I'll see you on Sunday. Bye' She closed the door and Marco walked away. Marco thought, she is a witch. He looked in the mirror and said, yes. He smiled. He was in the right way. Marco entered his flat and he saw Gabriel coming in. Gabriel looked really bad. He had no hair, was thin and his dress was dirty. 'Marco! I don't want to say anything to you' said Gabriel 'but I thought you were a witch.' Marco laughed and Gabriel said,' I am too but you think so, because of my clothes.''Why didn't you come home? I didn't expect this unexpected visit.' 'I haven't got any money. My boss wanted me to come in early and collect my salary. I told him I couldn't do that because I had some problems with the boss. But he said, don't worry. You don't have to work until the end of the month. You can take your time. He looked very worried.' 'And I believed him. So I stayed away until this morning. I came home and I had no money. I ran out of the building and I fell down. And the police will be here any minute. This is a small town. It will be very expensive if I got arrested.' 'Marco, come back! Your girlfriend is waiting."
