level,generated_story
A2,"Buildings People have always made buildings. We need houses to keep us warm and dry and we build stadiums so we can watch football matches and pop concerts. We use other buildings like museums to keep beautiful things in. Many people work together on a building. The architect decides how the building is going to look and draws pictures that show people his or her ideas. Then, the engineers work out how much weight the walls, floors and roof can hold. The builders then come and make the bricks and concrete needed, and put them all together. It is a team effort and everyone is very important.

## How buildings are made

1. 1
The first step is to plan the building.
2. 2
The architect decides how the building is going to look and draw pictures to show people his or her ideas.
3. 3
The engineers work out how much weight the walls, floors, and roof can hold.
4. 4
The builders then come and make the bricks and concrete needed, and put them all together.
5. 5
Everyone must work together and work safely.

## Tips

1. To design a building, we first need to know who is going to use the building, why they are going to use it, and where it is going to be built. This way we can design a building that is suitable for everyone.
2. The team has to work together, so that everyone can put their ideas and skills into the project.
3. It is important to plan and work safely because safety is essential for every individual, and everyone should get home from the building site at the end of the day.

## Did you know?

- Did you know that building started with our ancestors, who used natural"
A2,"'No' said Harry. 'I won't go. I'm your best man and this town has problems.' 'Yes' said Paul 'you are my best man. But you must understand something. After we go the people here in Dante's Peak will stay. They have their shops and their businesses. You think only about volcanoes but this is about money too.' 'OK' Harry said with a smile. 'If I'm your best man I have to be there for you. We need to know when you are leaving. We need to get out of here.' Paul knew exactly how his friend felt. In a place like Dante's Peak it was clear that Harry's specialised knowledge of volcanoes made him feel uncomfortable. All his time in the town had been spent analysing, observing and worrying. His thoughts were rarely distracted and he felt a constant sense of foreboding. But his role as the best man was all about loyalty to his friends, and the decision to stay or go was not a difficult one to make for Harry. 'Today we have a chance to save lives. Maybe we could go away tomorrow if we wanted.' 'No' said Harry. 'I won't go. I'm your best man and this town has problems.' 'Yes' said Paul 'you are my best man. But you must understand something. After we go the people here in Dante's Peak will stay. They have their shops and their businesses. You think only about volcanoes but this is about money too.' 'OK' Harry said with a smile. 'If I'm your best man I have to be there for you. We need to know when you are leaving. We need to get out of here.' Paul knew exactly how his friend felt. In a place like Dante's Peak it was clear"
A2,"Careful! Fight with your head don't fight with your heart boy!' shouted Bowen. The knight wanted to make Einon a good fighter. But he also wanted to teach him the Old Code. Sir Bowen and all the kings princes and knights before him were Knights of the Old Code. For thousands of years kings were kind to peasants and knights helped kings. And the Old Code made it all work. The knights made sure there were no battles in the land. The kings were responsible for the wellbeing of their people and made sure every peasant had enough to eat. This was why knights fought for king and for country. In battle the king never told his knights to fight. Instead he told them to 'serve and protect'. Sir Bowen saw his task as both teaching Einon to fight and teaching him the ways of the knight. So he often made up exercises that combined both training and teaching. Today, Bowen had sent Einon to collect water from the well at the other end of the grounds. At the other end of the grounds Einon found a man he recognized as a vagabond. He had been begging in the streets since sun-up and would sleep under a bush until dawn. Bowen always said that beggars should not be given anything. It was the knight's job to send them away without giving them a penny. Einon was just about to fill his water skin when the vagabond started talking to him. ´Who are you?´ asked the vagabond. Einon told him his name, but didn´t say he was Bowen´s boy. ´Are you a peasant? ´ asked the vagabond. ´No, I am a knight´, said Einon. The vagabond laughed. "
A2,"The History of Farming Before people started farming they went to the forest to look for plants or fruit they could eat. This meant that people were moving all the time to find food. But about 12000 years ago in the Middle East people began to grow food. These people were the first farmers. They found out that they could help plants grow by putting their seeds into the ground. This meant they did not have to keep on moving to look for food anymore. In the beginning they grew a few plants such as wheat and barley. Barley is a plant that is used to make beer. The History of Farming Before people started farming they went to the forest to look for plants or fruit they could eat. This meant that people were moving all the time to find food. But about 12000 years ago in the Middle East people began to grow food. These people were the first farmers. They found out that they could help plants grow by putting their seeds into the ground. This meant they did not have to keep on moving to look for food anymore. In the beginning they grew a few plants such as wheat and barley. Barley is a plant that is used to make beer. They also grew some kinds of beans, fruits and vegetables. In time they started to grow more kinds of plants. Farming made people more settled. This meant they had more time to think. They invented tools, learned new things and built villages. Some even began to keep animals, first for food but later for work too. This made farming easier. The history of farming has changed a lot since it began. Farmers started to grow more and more kinds of plants and animals. New tools were invented to make farming easier. This meant more people could join in and there was"
A2,"ICE-FISHING If you drive north from Toronto for three hours you come to Lake Nipissing. In winter the lake becomes ice and thousands of Canadian fishermen travel there each weekend. They build little houses of wood on the ice and paint them in bright colours. Then they sit inside to catch the fish that swim under the ice. The ice is so thick people can walk across the lake.

Ice-fishing in Canada is like summer holidays for the Canadian fisherman. It is also the best opportunity for the local people to work. When the lake freezes in January, the businessmen in town, who sell supplies to the fishermen, have a good few months of business. Restaurants and hotels do very well, and there are even ice-fishing contests in the towns near the lake.

In the summer, many people visit Nipissing, the fishing capital of Canada. They sit in their boats or fish from the shore. There are guides, stores, and restaurants.

The fishing here is world-class and some of the lakes are more than 200km2. However, the lake is most famous for its walleye, a type of fish that everyone enjoys eating. In the winter the walleye move deeper into the lake, so it is best to go ice fishing.

However, the ice fishing season is not very long. From January to March fishermen can catch walleye, pike, and trout in the icy water. To catch the fish, they use an auger which is like a special saw which cuts a hole in the ice. Through this hole, the fishermen drop a piece of fishing line called a jig, with a small bright coloured lure attached to it."
A2,"A man heard me and looked round. Then this big man saw me in the corn. He walked to me and I began to shout loudly: ' His foot is going to kill me ! ' The man stopped. For a minute he looked down at me carefully. (We look at a small animal in the same way and think: 'Will it hurt me?') His foot did not kill me!

As the man looked at me I could see him counting my fingers! I could not believe how big he was, even bigger than a house. I could not move, but I was not scared because I knew he would not hurt me. It was not the fear of death, but a fear of having my feet kicked. Then he realized that I was a person. His face changed from being friendly to hostile and angry, and he began to shout, ' I will kill you!' but it was more like a threat or warning.

I realized that he was not going to kick me, but only wanted to use me as his friend. Then he said that he wanted to be my friend. ' I will protect you!' he shouted angrily. But I was scared!

My friend tried to catch me but I escaped. Then he tried to get me again with his foot and he missed me. I managed to escape. But he caught me after he tried to kick me three times! Then he kicked me three times with the same foot and I fell to the ground.

When I got home I was happy that he did not kick me. When I was in the corn I was a little bit scared. My mother scolded me because I was out late, and did not come home. So, she was very angry with me and she blamed me for lying. When I was in the corn,"
A2,"Memo To: All staff Subject: Holidays From: D Brown Date: 22.2.02 I am planning the holidays for next year. Please tell me when you would like to take your holiday. If possible could you give me two dates? Please give me your answer by the end of the month. Thank you.

Memo To: All Staff From: D Brown Subject: Holidays Date: 22.2.02 If you wish to take your holidays next year, please tell me the dates that you would prefer to take them by the end of the month. If possible, please give me two dates. Thank you.

Memo To: All Staff From: D Brown Date: 22/2/02 I want to know when you plan to take your holidays next year. Please send me the dates you prefer by the end of the month. Thank you.

Memo To: All Staff Subject: Holiday Dates for 2002 From: D Brown Date: 22/02/02 If possible, could you please tell me the dates you would like to have your holidays next year. You should give me two dates if possible. Thank you for your attention.

Memo To: All Staff From: D Brown Date: 22/02/02 If possible, please tell me the dates for your holiday next year. Give me two dates, if possible. Thanks.

In all of the above examples, you can see how the message is being conveyed effectively to the staff and the point is being put across clearly. The messages ask for the dates of the holiday, as well as a backup option in case the first choice is unavailable.

1. You can"
A2,"New books this month The Long Night This is David Reilly's first book. David became a writer after teaching English for several years. Maha is a nurse in northern Australia where she works in a small hospital. One day a baby is so ill that Maha has to drive all night to get her to the nearest big city. This is a sad and moving story. The author is very good at describing people and places. Recommended for 12-14 year olds.

Other recent books The Hypnotist by C. A. Lyons. 12 to 15 year olds. This book tells a very gripping story about hypnosis. It's about a young boy who has special powers and uses them to find out things about people.

The Last Dragon: Legends and Lies by Jane Yolen. 8 to 12 year olds. A fantasy story about a group of children who meet the last dragon.

The Tapestry by Jill Paton Walsh. 13 to 16 year olds. This book is about a teenage girl whose life changes when she finds a roll of fabric.

Lord of the Flies by William Golding. 14 to 16 year olds. This is one of the most famous books about boys on an island.

Books for younger readers

Little Boat by Jeanne Birdsall. 5 to 8 year olds. A lovely story about a small boat that travels to the big city, meets some new friends and goes back home.

A Friend for Keli by Janet Rea Stewart. 6 to 11 year olds. A little dog called Keli"
A2,"Big cats There are many different kinds of cats. They are different in size and they do not look or act the same. Tigers are the biggest cats. From head to tail they can be 3.7m long. Most cats don't like water but tigers will often lie in a pool of water when it is hot! Tigers live in India and Siberia. They are good swimmers and can catch fish in rivers and lakes.

Lions are not the biggest cats but they are the kings of the jungle. They are found in Africa. They are good swimmers and climbers. Lions live in groups called prides. There are usually between 3 and 20 lions in a pride. Male lions are the dominant members of the pride. They will fight to protect their females and their cubs from other male lions.

There are also smaller cats like the ocelot. These are found in South America and they love to climb trees. They are agile and can get around very quickly on the ground and in the trees.

In the end the main differences between big cats are size and where they live. Lions live in the jungle while tigers live in forests. Ocelots are found in the trees! Despite their differences all these cats have a lot in common. They are all carnivores and they are all predators. They will hunt for their food. They have strong legs and sharp teeth for catching their prey. They will often choose the same prey. They eat birds, small animals and sometimes other cats! All the big cats are beautiful animals. Their different patterns make them easy to spot and identify.

Lions have a distinctive pattern of white patches on their body. This pattern"
A2,"Marco stood at the door of Silvia's flat and watched Gabriel leaving. He looked carefully at his clothes and his shoes. Why didn't Silvia open the door? She was in there. Then suddenly it opened. 'Silvia dear' Marco said 'you look wonderful ...' He stopped. Silvia didn't look wonderful. Her face was red and she looked unhappy. Then he saw the room. Silvia's paintings were all over the floor. He looked at her with great concern. 'I'm sorry' he said. Silvia burst into tears and threw herself in his arms.

I think this story is about Marco, who wanted to surprise Silvia with a romantic evening. Marco thought that he had a good idea of what she would like: romantic music, a meal cooked by a professional chef, and roses. When he arrived at the door of Silvia's flat, he looked at Gabriel, who was leaving. Then, he was surprised by the way Silvia looked. He assumed that something must have happened with Gabriel. He was shocked when he saw the mess in the apartment and the paintings on the floor. Silvia was very unhappy with his surprise. Then he tried to comfort her, but it didn't work.

First, I would change the title to ""The romantic surprise.""

Second, I would start with something like this:

Silvia had just received a letter from Marco. In it, he explained that he was coming to visit her that night. He was going to arrive at her door step with roses in hand. He wanted it to be a romantic surprise.

He was a wonderful friend, and Silvia enjoyed his company very much. She was very excited about his letter, but she didn't really know why he was coming to see her.
"
A2,"'I am quite well' I always answered. Why did I say that? Why did I not ask for his help? Perhaps because in one sense it was true. I was not in pain. 'It cannot be the mysterious illness from the village' I thought. 'My illness is now three weeks old. I think it will never get better. I think it will always get worse.''

F.Scott Fitzgerald

""The Curious Case of Benjamin Button,"" a 2006 short story by F. Scott Fitzgerald, tells the story of a man who ages in reverse. Benjamin Button, a character with a curious biological condition, ages in reverse. His physical appearance rejuvenates with age. Benjamin, unlike most humans, grows younger instead of older as he advances through the years. ""For all of my life people have done things in front of me, but now, for the first time, I can make my own choices and have them followed, even when they are stupid choices,""

The story, originally published in the September 1922 issue of Collier's Weekly, reflects an extraordinary concept of aging. The author uses this concept as a backdrop to explore various themes such as love, time, and mortality. By reversing the aging process, the story questions the traditional notion of time and encourages readers to reconsider their understanding of time's linearity.

Benjamin Button, born with an aging disorder, lives life in reverse. Growing younger as he ages, he learns from experience, not through age. At the beginning of the story, the protagonist is an old man, but he grows younger as he goes through life. ""I am two months old"
A2,"Dear Lynne and Tony I'm writing to say thank you for the two nights I stayed in your lovely home. It was good to see you again. Here are the photographs of your children that you asked for. They're good photos aren't they? I hope you like them. I really love my new camera. I took some more photos while I was staying with you. The lake was especially beautiful in the evening light. Here is one of those photos for you to keep. I'm sorry I didn't have time to do the reading for you. I will post it tomorrow. Thank you again for your hospitality and the good time we had together. I will come again. Yours Angela.

Write a letter to Angela.

Dear Angela,

Thank you for your lovely letter and for the photographs. We are so pleased that you enjoyed your stay with us and that you like the photos. We enjoyed looking at them and we will keep them safely with all our other photos.

We really hope you enjoyed the lake photo. We agree with you that the light was beautiful. You are right. It makes a difference. It is lovely to have visitors who love to take photos. We are lucky to live somewhere with such beautiful views.

We were sorry that you didn't have time to do the reading, but we enjoyed all the time we spent together and we are looking forward to seeing you again. We would love it if you would come and stay with us again sometime.

Please make sure that the book reaches us. We will be pleased to receive it.

Thanks once more and best wishes to you all.

Yours,

Lynne and Tony.

(480)

I"
A2,"BURGLARS LOVE THE AFTERNOON Most house burglaries happen between 2 p.m. and 6 p.m.say the police. Inspector Ian Saunders told our newspaper that the number of house burglaries has gone up by more than 30% compared with last year. He also said that 67% of burglaries happen when people have gone out and forgotten to dose a door or a window.

So, how can you protect your house? Let's think about some safety tips.

1. _______

2. _______

3. _______

4. _______

5. _______

## Facts about the text

1. House burglaries happen most during the afternoon.
2. There has been a 30% increase in house burglaries compared with last year.
3. Many burglaries happen when people have forgotten to close a door or window.
4. Inspector Ian Saunders gave these facts to a newspaper.
5. Here, we can see the importance of house safety.

## Word list

increase (noun) an amount or rate that goes up
door (noun) a thick piece of wood or metal that you can open and close
window (noun) a glass part of a wall that lets light in and can be opened

## Answers

1. Most burglaries happen in the afternoon.
2. House burglaries have gone up by more than 30%.
3. 67% of burglaries happen when people have gone out and forgotten to close a door or a window.
4. The police's tips come from Inspector Ian Saunders.
5. This passage teaches that keeping doors and windows closed"
A2,"Corryvale Farm Corryvale Farm is in the west of England. Stephen and Jenny Blackler keep cows and chickens and sell milk and eggs. But most of their money comes from Jenny's sheep. She has 50 sheep and each one has enough wool for six sweaters. Every six months Stephen cuts this wool off the sheep so they won't get too warm. And then Jenny sells the wool. Stephen likes being a farmer because he loves being outside and working with animals. Jenny likes taking care of the sheep. And she likes selling the wool to people from all over the country. They also like helping the other farmers with their animals when they need to. But it can be very hard work. So every evening, they like to sit down with their daughter and relax with the family around the fire. And they feel very happy because they can do the work they enjoy with the people they love. They are like Jack and Jill, two people who love each other and love their job. The end. If you like this story, don't forget to give the author a round of applause, and tell them what you think. The end.

I. True or false?
A. Corryvale Farm is located in England.
B. The Blacklers sell milk and eggs.
C. Jenny sells wool to people in the UK only.
D. The Blacklers relax with the family after a long day.
Answer Key: A. T F B. T C. F D. T

II. Why does Jenny sell the wool every six months?
A. Because the sheep need new clothes.
B. Because the sheep would get too warm.
C. Because it is time for a party.
D. Because the wool is used up.
Answer Key:"
A2,"Otters Not many people have seen an otter. These animals live near rivers and make their homes from small pieces of wood. They usually come out of their homes at night. Otters are very good in the water and can swim at more than 10 kilometres an hour. They have thick brown hair and this keeps them warm in the water. An otter's body is long and thin and it has a flattened face. It has little ears and a tiny tail. Otters have sharp teeth to catch fish with. They are very playful and can be very noisy. They can make barking and coughing noises. An otter can be up to one metre long and it weighs about 20 kilograms.

Vocabulary
otters – лосчи
rivers – реки
homes – жилища
wood – деревянные
homes – дома
night – ночь
thick – толстый
flattened – выпрямленный
sharp – острой
fish – рыба
playful – находчивый
noises – звуки
barking – лающая
coughing – кашляющая
weight – вес
no – нет

Grammar
1. Verbs
• to live (to live near rivers)
• to make (to make their homes)
• to come (to come out of their homes)
• to swim (to swim at more than 10 kilometres an hour)
• to catch (to catch fish)
• to be (to be very noisy)

2. Adjectives
• long and thin (a long and thin body"
A2,"Dear David I am going to visit your country next month. I’m going to travel with two friends. We don’t know where to stay. Are there any cheap hotels in your town? We would like to stay somewhere in the centre. Can you help us? Carlos Dear Carlos Hotels in the centre are expensive but I have good news. There is an inexpensive hotel near the train station called The Royal. I think it’s perfect for you. It’s not far from the centre and you can get there by walking or by bus. Let me know if you need any more help. Take care and have a good trip! Bye! David

(+/- 150 words)

Exercise: Write an email to David. Write about a time when you and your friends had to find a place to stay and couldn’t decide where to go. Tell David you can’t wait to stay in his hotel. You are very excited. Look forward to seeing him.

Dear David,

Last year, my friends and I had to find accommodation in Paris for our holiday. We could not make a decision between a hotel, a B&B or a vacation home. Our excitement built up as we scanned brochures, compared prices and researched reviews online. Eventually, we chose a hotel because it seemed the most convenient. We were so glad we did. The location was perfect and the staff were very helpful. The breakfast was also delicious. It was such a great time!

I can hardly wait to stay at your hotel, The Royal. After hearing about it, I’m sure it will be a delightful experience. Thank you for the recommendation. I'm excited about this opportunity to get to know your country. I"
A2,"World traveller Nick Barlow loves his work. He's a British actor and he travels around the world making TV programmes. 'People welcome me everywhere I go and when I get home I remember all the wonderful things that happened in each country.' Nick has travelled to many places but there are a few trips that he would still like to make. 'I would love to go to South America - I've never been there before. And Australia... But for now, I'm happy to wait.' Nick's job has changed his life. 'I meet so many interesting people and have so many exciting experiences. Sometimes I have to do difficult things, but I'm happy to do them because it's all worth it. I live in a country house outside London, which I bought in 1986. It's lovely to live there and when I'm not working, I enjoy walking and painting pictures of the beautiful views I see. That's what makes me very happy.' So, what does Nick Barlow do for a living? He is a British actor and he travels around the world making TV programmes. His job makes him very happy and he has lots of exciting experiences. But he'd still like to visit South America and Australia one day.

1) What are two places that Nick Barlow would like to visit?
A) China and the USA
B) Africa and Australia
C) South America and Australia
D) Australia and South America
E) The Philippines and Greece
2) What does Nick do for a living?
A) He's a nurse.
B) He's a shop worker.
C) He's a British actor and makes TV programmes.
D) He's a teacher.
"
A2,"POSTCARDS Today people like to send postcards to their friends and family. These postcards often have pictures of beaches mountains or castles on them and you can write a message on the back. Many people send postcards when they are on holiday because postcards are cheap and the pictures on them are often better than people's own photos. But for thousands of years people sent letters to each other.

PAPER The oldest paper ever discovered was found in Egypt and is almost 3,000 years old. It was made of papyrus. Before there was paper, there were scrolls. Some of these were very long, but because they were made of paper, they could be rolled up and carried around. People didn't usually write on one side of the paper, they wrote on both sides.

LETTER WRITING People used to write letters to their friends and family when they were far away. They did this because there was no telephone. The person who wrote the letter would write their message with a pen or pencil and then put it in an envelope. They would then take it to the post office and give it to a postman, who would take the letter to another post office. Then someone there would take the letter and deliver it to the person who had written it. The person who received the letter would then read it and maybe write a reply.

POST OFFICE The post office is a place where you can send and receive letters and packages. It is run by people who are called postmen or postwomen. These are the people who work at the post office and drive the special vehicles that carry the mail from one place to another. They used to be called mailmen, but women were not allowed to work, so now it's politically"
A2,"The history of horse racing From the first history books ever written it is clear that horse racing has always been an important sport. It started in Central Asia about 4500 years ago and was a favourite sport in both Greek and Roman times. Modern horse racing began when Arab horses were brought to Europe in the 12th century. From the earliest recorded racing in 1174 in England (when King Henry II established the St. Albans horse races), it has continued to be one of the most popular sports in the United Kingdom. The English set the standards for the sport and the other nations followed their example. The history of horse racing in the United States dates back to the 1600s when the first English colonists arrived. They brought with them their horses and the passion for the sport. The first race was held in 1674 and, as the popularity of the sport increased, the first organized horse races started to be held. The most prestigious races in American horse racing are the Kentucky Derby and the Preakness Stakes. The Kentucky Derby, held in Louisville, Kentucky every year since 1875, is known as ""The Run for the Roses"" and is considered by many to be the greatest two minutes in sports. The Preakness Stakes, held near Baltimore in Maryland since 1873, is the second leg of the Triple Crown Series and traditionally comes second in the order of races. The most prestigious horse race in the world is considered to be the English Triple Crown, which consists of the 2000 Guineas Stakes, the Epsom Derby, and the St. Leger Stakes. The winner of these three races is crowned the winner"
A2,"It was more than three months after Lynette's death. Jude and Dad were sitting at the table looking at a map. Mum was out walking. Suddenly Dad stood up. 'Come with me Jude' he said. 'Where are you going Dad?' I asked. 'To a meeting.' 'What meeting? Can I come?' 'No you're too young' said Dad. They left. I was bored. Then Mum came in. 'What are you doing here?' she asked. 'They've gone to a meeting.' 'Let's play cards, let's play rummy.' 'Alright Mum,' I said. 'Rummy it is.'

A little later Dad came back with a bag. 'We've bought you a bike' he said. 'Thank you Dad!' 'Be careful you must wear a helmet to be safe' said Mum. 'Sure, sure,' I replied.

I waited until a week later before I went riding the new bike. As I rode along I felt happy and excited because it was the first time for me. I rode from my house to the park and back, and in total I rode for 15 kilometres. It was a big day for me because I had my very first bike! I was able to go where I wanted without anyone's help, and I felt free, even though I had to wear my helmet because I needed to be safe.

In the afternoon, Dad and Mum took me to the beach. I rode my bike to the sand where they were. I played in the waves and sands feeling happy and free. I am sure it was the happiest day of my life. I now have a bicycle and the ability to go places by myself. But I must remember to always wear a helmet.

The End.

"
A2,"The horses were near now and Don Quixote spoke to the driver. 'Where are you going my friend? What have you got in that big box?' 'I've got a lion for the king in the box' said the driver. 'Is it large?' asked Don Quixote. 'It's the biggest lion in this country' said the driver.

Suddenly Sancho Panza, who was walking behind the horses, noticed a sheep lying in the grass. He quickly picked it up and ran to his master. 'Look Don Quixote. Look what I've found.' Sancho held the sheep in front of Don Quixote. 'You'll have to carry the sheep as well' said the driver. 'I'm sure it's an enemy of yours' 'Who me? I can fight a lion, can't I?' said Don Quixote.

Soon they arrived at a farm. They asked the farmers if they could stay the night and were given permission. They decided to have dinner in the kitchen. The cook asked them what they would like. Sancho suggested they could eat lamb chops. The cook replied, 'With pleasure. I see Sancho has brought us a lamb from the mountains for our dinner.'

Then the driver decided to open the box in which the lion was sleeping. To everyone's surprise, they saw a beautiful donkey inside. 'Ah!' said Don Quixote. 'Here is my greatest enemy. I have defeated him at last.' The farmers, who had gathered to see this new adventure, laughed a great deal.

The next morning, the driver and his donkey left with the horses and Sancho Panza stayed with Don Quixote. They continued their journey to the next town."
